Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg<2.5,Avg>2.5,HS,AS,HST,AST
Example1,10/09/00,Team12,Team10,1,1,D,2,3.34,3.69,1.86,1.91,8,7,3,2
Example1,10/09/00,Team11,Team1,1,2,A,2.69,3.27,2.75,1.75,2.11,12,6,3,5
Example1,10/09/00,Team13,Team9,2,0,H,1.82,3.27,3.94,1.68,2.06,9,8,5,3
Example1,10/09/00,Team15,Team7,0,1,A,3.21,3.04,2.25,1.45,2.61,,,,
Example1,10/09/00,Team2,Team5,0,1,A,4.98,3.7,1.69,1.87,1.91,13,13,4,6
Example1,10/09/00,Team4,Team3,4,0,H,1.99,3.22,3.79,1.8,1.94,,,,
Example1,20/09/00,Team6,Team14,3,1,H,3.37,3.25,2.04,1.89,1.84,,,,
Example1,20/09/00,Team8,Team12,0,2,A,6.96,3.79,1.5,1.8,1.98,,,,
Example1,20/09/00,Team1,Team10,1,3,A,2.42,2.81,2.96,1.59,2.2,,,,
Example1,20/09/00,Team9,Team11,0,2,A,1.92,3.09,3.76,1.55,2.26,,,,
Example1,20/09/00,Team7,Team13,1,4,A,1.79,3.48,4.12,1.94,1.8,,,,
Example1,20/09/00,Team5,Team15,2,2,D,1.77,3.48,5.03,1.69,2.17,18,13,5,3
Example1,20/09/00,Team3,Team2,3,0,H,2.88,3.5,2.39,2.16,1.68,16,8,4,3
Example1,30/09/00,Team14,Team4,1,0,H,2.36,2.97,2.97,1.6,2.23,10,7,4,3
Example1,30/09/00,Team12,Team6,2,0,H,2.04,2.96,3.76,1.58,2.24,15,9,5,3
Example1,30/09/00,Team10,Team8,4,2,H,2.81,3.01,2.59,1.68,2.16,,,,
Example1,30/09/00,Team9,Team1,1,1,D,2.07,2.99,3.56,1.66,2.1,,,,
Example1,30/09/00,Team11,Team7,3,2,H,2.14,3.27,3.34,1.74,2.02,,,,
Example1,30/09/00,Team13,Team5,0,0,D,3.02,3.24,2.25,1.65,2.14,10,9,5,2
Example1,30/09/00,Team15,Team3,1,2,A,1.47,4.62,6.46,2.27,1.64,14,8,6,4
Example1,10/10/00,Team2,Team14,1,0,H,1.12,7.22,15.91,2.79,1.38,,,,
Example1,10/10/00,Team4,Team12,4,1,H,1.39,4.25,7.84,2.56,1.47,25,28,10,12
Example1,10/10/00,Team6,Team10,3,1,H,2.01,3.39,3.51,1.93,1.84,,,,
Example1,10/10/00,Team1,Team8,1,0,H,2.2,2.95,3.47,1.56,2.35,,,,
Example1,10/10/00,Team7,Team9,3,1,H,1.97,3.27,3.71,1.63,2.19,,,,
Example1,10/10/00,Team5,Team11,1,2,A,2.71,3.23,2.61,1.8,1.98,16,11,10,5
Example1,10/10/00,Team3,Team13,3,3,D,2.78,3.29,2.47,1.89,1.89,10,18,6,8
Example1,20/10/00,Team14,Team15,2,1,H,1.9,3.2,4.32,1.55,2.37,5,4,3,3
Example1,20/10/00,Team12,Team2,1,0,H,1.9,3.47,4.04,2.02,1.79,5,20,2,4
Example1,20/10/00,Team10,Team4,2,2,D,2,3.19,3.86,1.69,2.1,27,11,5,4
Example1,20/10/00,Team8,Team6,4,1,H,1.75,3.3,4.38,1.81,1.92,17,7,8,4
Example1,20/10/00,Team7,Team1,1,2,A,1.78,3.55,5.11,1.7,2.14,5,11,2,5
Example1,20/10/00,Team9,Team5,3,2,H,2.12,2.93,3.57,1.53,2.33,,,,
Example1,20/10/00,Team11,Team3,4,1,H,1.69,3.92,4.71,2.19,1.67,15,16,7,6
Example1,30/10/00,Team13,Team14,1,0,H,2.29,3.17,3.04,1.73,2.07,,,,
Example1,30/10/00,Team15,Team12,2,1,H,1.75,3.21,4.66,1.88,1.83,12,8,4,3
Example1,30/10/00,Team2,Team10,0,1,A,1.41,4.43,7.27,1.97,1.82,16,7,3,2
Example1,30/10/00,Team4,Team8,1,3,A,1.86,3.34,4.09,1.66,2.11,7,14,1,10
Example1,30/10/00,Team1,Team6,3,0,H,2.72,3.06,2.64,1.56,2.32,16,16,6,3
Example1,30/10/00,Team5,Team7,1,1,D,1.62,3.81,5.82,1.8,2,12,15,5,6
Example1,30/10/00,Team3,Team9,3,0,H,1.19,6.59,13.62,2.51,1.49,,,,
Example1,09/11/00,Team14,Team11,0,1,A,2.22,3.19,3.25,1.76,2.04,12,14,2,4
Example1,09/11/00,Team12,Team13,2,3,A,3.33,3.27,2.17,1.85,1.95,19,6,6,6
Example1,09/11/00,Team10,Team15,3,1,H,1.55,3.76,5.99,2.09,1.68,18,11,6,3
Example1,09/11/00,Team8,Team2,2,2,D,4.37,3.42,1.84,1.77,2,14,12,7,9
Example1,09/11/00,Team6,Team4,2,1,H,2.72,3.37,2.52,2.07,1.76,10,12,3,7
Example1,09/11/00,Team5,Team1,5,1,H,1.44,4.69,6.36,2.52,1.51,24,8,11,3
Example1,09/11/00,Team7,Team3,1,1,D,2.3,3.18,2.97,1.75,2.04,,,,
Example1,19/11/00,Team9,Team14,2,3,A,2.81,3.26,2.55,1.84,1.96,25,12,10,5
Example1,19/11/00,Team11,Team12,1,0,H,6.83,4.08,1.51,1.84,1.94,13,15,4,2
Example1,19/11/00,Team13,Team10,1,1,D,2.36,3.52,2.78,2.22,1.64,6,7,3,6
Example1,19/11/00,Team15,Team8,2,1,H,2.09,2.95,3.62,1.55,2.29,10,10,5,4
Example1,19/11/00,Team2,Team6,1,2,A,3.82,3.21,2.08,1.57,2.35,11,9,5,4
Example1,19/11/00,Team1,Team4,0,2,A,2.01,3.44,3.43,1.87,1.86,,,,
Example1,19/11/00,Team3,Team5,1,0,H,3.73,3.44,2.07,1.71,2.16,9,16,2,4
Example1,29/11/00,Team14,Team7,0,0,D,1.57,3.87,5.24,1.9,1.83,7,12,4,4
Example1,29/11/00,Team12,Team9,3,2,H,2.25,3.45,3.22,2.06,1.76,17,9,7,3
Example1,29/11/00,Team10,Team11,0,2,A,2.18,3.29,3.31,1.76,2.02,,,,
Example1,29/11/00,Team8,Team13,1,1,D,1.49,3.91,6.8,1.91,1.86,,,,
Example1,29/11/00,Team6,Team15,2,0,H,2.28,3.4,3.23,1.98,1.84,11,9,1,0
Example1,29/11/00,Team4,Team2,3,0,H,2.08,3.1,3.64,1.6,2.24,11,7,7,5
Example1,29/11/00,Team3,Team1,3,1,H,2.57,3.14,2.8,1.88,1.88,15,20,5,5
Example1,09/12/00,Team5,Team14,0,0,D,2,2.87,4.57,1.37,2.98,9,3,3,1
Example1,09/12/00,Team7,Team12,2,1,H,2.18,3.24,2.91,1.87,1.85,,,,
Example1,09/12/00,Team9,Team10,4,0,H,1.61,4.2,5.33,2.41,1.56,15,5,8,1
Example1,09/12/00,Team11,Team8,1,2,A,5.96,3.98,1.56,1.93,1.88,11,7,5,2
Example1,09/12/00,Team13,Team6,2,1,H,1.44,4.07,7.4,2.1,1.68,22,13,7,4
Example1,09/12/00,Team15,Team4,2,1,H,1.57,3.95,5.35,2.16,1.66,,,,
Example1,09/12/00,Team1,Team2,1,0,H,2.66,3.05,2.72,1.68,2.14,16,3,5,0
Example1,19/12/00,Team14,Team3,1,0,H,2.46,3.11,3.14,1.53,2.51,10,9,2,1
Example1,19/12/00,Team12,Team5,1,4,A,2.69,3.44,2.23,1.81,2.04,,,,
Example1,19/12/00,Team10,Team7,1,0,H,2.23,3.4,2.97,2.03,1.76,,,,
Example1,19/12/00,Team8,Team9,2,2,D,1.75,3.48,4.69,1.73,2.01,15,12,7,4
Example1,19/12/00,Team6,Team11,1,1,D,2.44,3.08,2.76,1.56,2.29,,,,
Example1,19/12/00,Team4,Team13,0,1,A,1.66,3.51,5.07,1.68,2.09,12,7,8,4
Example1,19/12/00,Team2,Team15,0,3,A,4.93,4.63,1.57,2.76,1.43,15,7,4,4
Example1,01/02/01,Team15,Team1,1,2,A,3.77,3.35,1.94,1.96,1.81,,,,
Example1,01/02/01,Team13,Team2,4,1,H,2.14,2.82,3.57,1.68,2.07,,,,
Example1,01/02/01,Team11,Team4,3,1,H,1.89,3.46,3.86,2.05,1.74,15,6,7,3
Example1,01/02/01,Team9,Team6,0,1,A,10.39,4.62,1.32,1.79,2,4,24,2,6
Example1,01/02/01,Team7,Team8,2,3,A,2.34,3.6,2.77,2.22,1.64,12,9,4,5
Example1,01/02/01,Team5,Team10,8,1,H,1.29,4.58,8.59,2.24,1.55,,,,
Example1,01/02/01,Team3,Team12,3,0,H,1.39,4.69,7.94,2.2,1.65,18,12,5,1
Example1,11/02/01,Team1,Team14,1,0,H,2.56,3.25,2.66,1.99,1.78,15,16,8,9
Example1,11/02/01,Team15,Team13,1,2,A,1.72,3.54,5.22,1.65,2.23,7,10,1,4
Example1,11/02/01,Team2,Team11,2,3,A,1.96,3.36,3.94,1.76,2.06,14,11,6,3
Example1,11/02/01,Team4,Team9,1,0,H,2.22,3.19,3.38,1.64,2.21,,,,
Example1,11/02/01,Team6,Team7,1,1,D,2.57,3.17,2.48,1.68,2.03,,,,
Example1,11/02/01,Team8,Team5,1,1,D,1.98,2.98,3.73,1.61,2.18,,,,
Example1,11/02/01,Team10,Team3,0,3,A,2.95,2.79,2.43,1.59,2.2,,,,
Example1,21/02/01,Team12,Team14,0,0,D,1.7,3.46,5.3,1.87,1.92,16,9,5,1
Example1,21/02/01,Team1,Team13,1,2,A,2.51,3.16,2.58,1.63,2.13,8,8,4,4
Example1,21/02/01,Team11,Team15,1,1,D,2.96,3.36,2.26,2.02,1.74,7,9,3,5
Example1,21/02/01,Team9,Team2,0,1,A,2.54,3,2.84,1.63,2.21,,,,
Example1,21/02/01,Team7,Team4,1,1,D,2.05,2.95,3.69,1.51,2.38,,,,
Example1,21/02/01,Team5,Team6,0,1,A,8.08,4.47,1.33,2.11,1.65,6,14,2,6
Example1,21/02/01,Team3,Team8,0,2,A,3.23,3,2.27,1.62,2.23,,,,
Example1,03/03/01,Team14,Team10,2,2,D,1.8,3.44,3.95,1.83,1.93,,,,
Example1,03/03/01,Team12,Team1,2,4,A,1.76,3.57,4.97,1.7,2.14,10,7,5,5
Example1,03/03/01,Team13,Team11,0,1,A,2.01,3.33,3.64,1.67,2.13,,,,
Example1,03/03/01,Team15,Team9,0,0,D,2.56,2.98,3.14,1.53,2.53,12,14,1,5
Example1,03/03/01,Team2,Team7,1,0,H,2.83,3.08,2.57,1.49,2.55,13,7,7,4
Example1,03/03/01,Team4,Team5,3,1,H,1.55,3.9,6.03,2.12,1.69,21,14,8,4
Example1,03/03/01,Team6,Team3,1,2,A,2.33,3.32,3.06,1.84,1.97,11,7,3,4
Example1,13/03/01,Team8,Team14,0,0,D,1.98,3.23,3.62,1.83,1.94,,,,
Example1,13/03/01,Team10,Team12,3,0,H,1.45,3.88,6.74,1.99,1.76,,,,
Example1,13/03/01,Team1,Team11,0,0,D,2.79,3.66,2.37,2.52,1.5,9,13,4,1
Example1,13/03/01,Team9,Team13,0,1,A,1.83,3.66,3.9,1.85,1.92,13,4,3,3
Example1,13/03/01,Team7,Team15,4,0,H,1.78,3.75,4.4,1.97,1.83,20,8,11,1
Example1,13/03/01,Team5,Team2,1,1,D,3.76,3.22,1.92,1.89,1.84,24,14,9,5
Example1,13/03/01,Team3,Team4,1,0,H,2.16,3.38,3.26,1.93,1.87,16,7,7,2
Example1,23/03/01,Team14,Team6,1,0,H,1.67,3.52,5.02,1.7,2.06,16,18,9,8
Example1,23/03/01,Team12,Team8,4,1,H,1.24,5,9.97,1.83,1.91,,,,
Example1,23/03/01,Team10,Team1,1,1,D,1.89,2.95,4.04,1.56,2.11,,,,
Example1,23/03/01,Team11,Team9,1,1,D,1.53,3.73,6.25,1.81,1.99,,,,
Example1,23/03/01,Team13,Team7,6,1,H,1.32,4.5,9.42,2.12,1.67,,,,
Example1,23/03/01,Team15,Team5,4,0,H,2.03,3.33,3.54,1.83,1.93,17,3,11,3
Example1,23/03/01,Team2,Team3,2,2,D,2.21,3.39,2.8,1.94,1.82,,,,
Example1,02/04/01,Team4,Team14,1,1,D,2.77,3.21,2.37,1.78,1.97,,,,
Example1,02/04/01,Team6,Team12,2,1,H,1.81,2.98,4.42,1.64,2.03,,,,
Example1,02/04/01,Team8,Team10,4,0,H,1.19,6.47,13.95,2.46,1.52,17,8,6,2
Example1,02/04/01,Team1,Team9,2,2,D,1.6,3.45,5.63,1.56,2.31,,,,
Example1,02/04/01,Team7,Team11,0,2,A,1.42,4.86,6.6,2.6,1.48,14,10,6,7
Example1,02/04/01,Team5,Team13,2,1,H,1.75,3.42,4.3,1.9,1.86,,,,
Example1,02/04/01,Team3,Team15,2,0,H,1.61,3.6,5.24,2.1,1.68,,,,
Example1,12/04/01,Team14,Team2,0,0,D,2.5,3.23,2.8,1.77,1.98,7,8,3,2
Example1,12/04/01,Team12,Team4,0,0,D,1.81,3.54,4.57,1.76,2.06,8,4,1,0
Example1,12/04/01,Team10,Team6,1,0,H,2.43,2.8,3,1.59,2.17,13,5,2,3
Example1,12/04/01,Team8,Team1,1,0,H,3.04,3.21,2.28,1.68,2.11,14,8,10,3
Example1,12/04/01,Team9,Team7,4,0,H,1.92,3.03,4.17,1.64,2.13,,,,
Example1,12/04/01,Team11,Team5,2,0,H,2.39,3.16,2.96,1.73,2.06,13,15,3,4
Example1,12/04/01,Team13,Team3,2,0,H,1.89,3.42,3.98,1.83,1.93,,,,
Example1,22/04/01,Team15,Team14,1,1,D,2.09,2.88,3.39,1.6,2.07,,,,
Example1,22/04/01,Team2,Team12,2,1,H,1.4,3.8,7.74,1.77,1.97,28,11,12,4
Example1,22/04/01,Team4,Team10,1,6,A,3.62,3.3,2,1.67,2.12,8,12,3,9
Example1,22/04/01,Team6,Team8,2,0,H,1.81,2.83,4.68,1.62,2.05,,,,
Example1,22/04/01,Team1,Team7,3,1,H,1.45,4.01,6.95,2.64,1.44,18,7,6,2
Example1,22/04/01,Team5,Team9,0,1,A,1.8,3.03,4.51,1.6,2.16,,,,
Example1,22/04/01,Team3,Team11,2,0,H,1.85,3.27,4.23,1.62,2.21,,,,
Example1,02/05/01,Team14,Team13,2,1,H,2.67,2.98,2.65,1.52,2.39,,,,
Example1,02/05/01,Team12,Team15,0,1,A,1.73,3.19,4.74,1.72,2.03,,,,
Example1,02/05/01,Team10,Team2,2,2,D,2.32,3.39,3.12,1.98,1.83,16,13,5,6
Example1,02/05/01,Team8,Team4,0,0,D,3.43,3.29,2.15,1.75,2.05,,,,
Example1,02/05/01,Team6,Team1,5,1,H,1.25,5.57,11.25,2.34,1.57,13,2,8,1
Example1,02/05/01,Team7,Team5,1,1,D,2.33,2.97,3.14,1.58,2.26,,,,
Example1,02/05/01,Team9,Team3,1,1,D,3.78,3.22,2.03,1.67,2.17,11,15,2,5
Example1,12/05/01,Team11,Team14,1,1,D,2.14,3.1,3.6,1.63,2.25,4,5,1,4
Example1,12/05/01,Team13,Team12,3,3,D,2.08,3.22,3.23,2.02,1.71,,,,
Example1,12/05/01,Team15,Team10,1,1,D,3.11,3.47,2.25,2.21,1.66,10,14,5,5
Example1,12/05/01,Team2,Team8,1,2,A,9.32,5.12,1.3,2.08,1.7,6,9,5,5
Example1,12/05/01,Team4,Team6,1,2,A,1.17,5.85,11.84,1.91,1.77,,,,
Example1,12/05/01,Team1,Team5,1,1,D,2.68,2.83,2.89,1.51,2.5,11,9,1,2
Example1,12/05/01,Team3,Team7,1,0,H,3.85,3.32,1.98,1.95,1.79,13,15,7,6
Example1,22/05/01,Team14,Team9,1,0,H,2.49,3.17,2.89,1.57,2.33,18,7,6,4
Example1,22/05/01,Team12,Team11,1,1,D,2.25,3.19,2.89,1.67,2.05,8,5,5,3
Example1,22/05/01,Team10,Team13,2,2,D,1.58,3.67,5.43,1.99,1.77,,,,
Example1,22/05/01,Team8,Team15,1,2,A,2.12,3.22,3.2,1.86,1.88,16,9,7,5
Example1,22/05/01,Team6,Team2,6,1,H,1.38,4.84,7.32,2.39,1.55,18,8,11,5
Example1,22/05/01,Team4,Team1,0,2,A,1.92,3.29,3.64,2.18,1.6,16,14,,
Example1,22/05/01,Team5,Team3,3,1,H,1.92,3.52,3.91,2.11,1.7,12,9,4,3
Example1,01/06/01,Team7,Team14,0,2,A,2.07,3.42,3.68,1.85,1.95,14,8,4,3
Example1,01/06/01,Team9,Team12,4,1,H,2.59,2.89,2.94,1.47,2.59,23,15,14,6
Example1,01/06/01,Team11,Team10,2,0,H,2.15,3.22,3.57,1.66,2.2,7,11,4,2
Example1,01/06/01,Team13,Team8,2,1,H,1.49,4.15,5.95,2.1,1.69,9,12,5,6
Example1,01/06/01,Team15,Team6,0,0,D,2.13,3.06,3.56,1.58,2.29,,,,
Example1,01/06/01,Team2,Team4,2,1,H,2.09,3.06,3.67,1.57,2.31,,,,
Example1,01/06/01,Team1,Team3,3,1,H,1.88,2.83,4.18,1.46,2.36,,,,
Example1,11/06/01,Team14,Team5,4,0,H,1.88,3.57,4.29,1.89,1.93,6,21,5,7
Example1,11/06/01,Team12,Team7,5,1,H,1.53,4.53,5.75,2.59,1.5,13,13,9,3
Example1,11/06/01,Team10,Team9,2,2,D,3.58,3.36,1.99,2.12,1.67,8,13,4,7
Example1,11/06/01,Team8,Team11,2,0,H,2.11,3.4,3.55,1.91,1.89,18,10,6,6
Example1,11/06/01,Team6,Team13,1,1,D,1.96,3.31,4.12,1.7,2.14,12,3,4,1
Example1,11/06/01,Team4,Team15,3,4,A,12.35,6.59,1.23,3.05,1.38,10,14,7,7
Example1,11/06/01,Team2,Team1,4,1,H,1.36,4.86,9.37,2.06,1.77,17,4,8,1
Example1,21/06/01,Team3,Team14,2,1,H,2.76,3.21,2.53,1.73,2.06,17,17,6,4
Example1,21/06/01,Team5,Team12,0,0,D,2.83,1.86,4.76,2.02,1.84,10,10,3,3
Example1,21/06/01,Team7,Team10,0,1,A,1.96,3.18,4.09,1.53,2.39,,,,
Example1,21/06/01,Team9,Team8,1,0,H,2.44,3.19,3.02,1.65,2.18,12,12,2,3
Example1,21/06/01,Team11,Team6,1,0,H,1.57,3.74,5.64,1.92,1.86,,,,
Example1,21/06/01,Team13,Team4,2,1,H,1.05,14.43,37.94,3.8,1.25,27,3,8,1
Example1,21/06/01,Team15,Team2,0,2,A,2.51,3.36,2.36,1.68,1.92,,,,
