Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,AvgH,AvgD,AvgA,Avg<2.5,Avg>2.5,HS,AS,HST,AST
Example2,10/09/00,Club11,Club1,4,2,H,2.23,3.22,2.91,1.86,1.86,,,,
Example2,10/09/00,Club13,Club9,4,1,H,1.62,3.58,5.37,1.83,1.9,16,14,7,6
Example2,10/09/00,Club15,Club7,1,0,H,1.33,5.25,9.21,2.56,1.5,8,3,4,1
Example2,10/09/00,Club2,Club5,1,1,D,2.38,3.19,3.1,1.64,2.24,18,10,5,2
Example2,10/09/00,Club4,Club3,0,4,A,2.44,3.59,2.79,2.58,1.49,13,18,7,7
Example2,20/09/00,Club6,Club14,2,1,H,2.4,3.22,2.68,2.38,1.51,21,17,,
Example2,20/09/00,Club8,Club12,2,0,H,1.33,4.72,9.21,1.98,1.79,,,,
Example2,20/09/00,Club1,Club10,0,0,D,1.81,3.28,4.69,1.66,2.13,15,5,4,2
Example2,20/09/00,Club9,Club11,1,1,D,2.84,2.82,2.58,1.57,2.27,,,,
Example2,20/09/00,Club7,Club13,3,0,H,1.36,4.94,7.76,2.43,1.53,7,11,3,3
Example2,20/09/00,Club5,Club15,2,1,H,2.57,3.17,2.63,1.89,1.85,13,11,3,8
Example2,20/09/00,Club3,Club2,2,0,H,1.42,4.01,7.76,2.19,1.6,17,14,13,8
Example2,30/09/00,Club14,Club4,2,2,D,2.28,3.01,2.98,1.55,2.21,,,,
Example2,30/09/00,Club12,Club6,0,1,A,3.59,3.02,2.08,1.67,2.1,11,16,3,6
Example2,30/09/00,Club10,Club8,1,2,A,2.29,3.24,2.88,1.63,2.16,9,8,3,4
Example2,30/09/00,Club9,Club1,0,3,A,2.91,3.59,2.28,2.18,1.67,17,9,1,7
Example2,30/09/00,Club11,Club7,1,0,H,1.68,3.51,5.6,1.59,2.29,11,6,3,2
Example2,30/09/00,Club13,Club5,3,1,H,1.56,3.67,5.78,1.83,1.95,,,,
Example2,30/09/00,Club15,Club3,2,0,H,2.08,3.4,3.45,1.89,1.88,9,9,5,1
Example2,10/10/00,Club2,Club14,2,0,H,1.24,6.09,13.32,2.05,1.77,11,3,5,2
Example2,10/10/00,Club4,Club12,0,0,D,2.74,3.25,2.57,1.77,2.03,14,10,6,3
Example2,10/10/00,Club6,Club10,3,1,H,2.24,3.22,3.09,1.78,2.01,,,,
Example2,10/10/00,Club1,Club8,1,0,H,1.88,3.42,4.24,1.65,2.23,16,6,7,3
Example2,10/10/00,Club7,Club9,1,3,A,3.04,3.1,2.38,1.67,2.11,4,10,0,5
Example2,10/10/00,Club5,Club11,3,0,H,2.67,3.24,2.41,1.71,2.05,,,,
Example2,10/10/00,Club3,Club13,2,1,H,2.15,3.29,3.28,1.87,1.92,,,,
Example2,20/10/00,Club14,Club15,4,0,H,2.32,3.16,3.1,1.72,2.09,14,9,6,2
Example2,20/10/00,Club12,Club2,1,1,D,1.64,3.4,5.11,1.73,2,12,7,7,4
Example2,20/10/00,Club10,Club4,1,1,D,3.17,3.49,2.17,1.94,1.86,14,14,3,7
Example2,20/10/00,Club8,Club6,3,1,H,1.2,7.37,13.26,3.55,1.4,16,8,5,5
Example2,20/10/00,Club7,Club1,2,0,H,2.14,3.33,3.46,1.88,1.91,13,8,7,0
Example2,20/10/00,Club9,Club5,2,1,H,1.52,4.47,5.97,2.48,1.53,12,13,6,3
Example2,20/10/00,Club11,Club3,0,0,D,1.78,3.24,4.1,1.76,1.95,20,8,7,2
Example2,30/10/00,Club13,Club14,0,1,A,2.47,3.04,2.98,1.55,2.34,,,,
Example2,30/10/00,Club15,Club12,2,1,H,1.41,4.5,7.38,2.11,1.7,17,13,3,5
Example2,30/10/00,Club2,Club10,1,1,D,6.11,3.83,1.53,1.97,1.79,8,9,4,3
Example2,30/10/00,Club4,Club8,0,0,D,2.67,3.11,2.82,1.64,2.25,8,10,0,2
Example2,30/10/00,Club1,Club6,2,1,H,2.4,3.06,2.93,1.63,2.17,,,,
Example2,30/10/00,Club5,Club7,0,1,A,3,3.25,2.27,1.72,2.06,,,,
Example2,30/10/00,Club3,Club9,2,2,D,2.56,3.58,2.65,2.12,1.73,14,12,6,7
Example2,09/11/00,Club14,Club11,2,0,H,2.15,3.18,3.22,1.84,1.88,22,10,11,7
Example2,09/11/00,Club12,Club13,2,2,D,2.83,3.24,2.52,1.87,1.94,9,14,4,7
Example2,09/11/00,Club10,Club15,1,1,D,2.5,2.78,2.79,1.51,2.28,,,,
Example2,09/11/00,Club8,Club2,2,0,H,2.23,3.1,3.47,1.51,2.5,6,7,3,2
Example2,09/11/00,Club6,Club4,1,4,A,1.58,3.79,4.65,1.84,1.86,,,,
Example2,09/11/00,Club5,Club1,2,2,D,1.82,3.03,4.45,1.66,2.06,14,7,6,4
Example2,09/11/00,Club7,Club3,1,1,D,5.28,3.97,1.61,2.33,1.56,24,9,3,4
Example2,19/11/00,Club9,Club14,1,0,H,1.69,3.76,4.8,2.23,1.62,14,6,5,4
Example2,19/11/00,Club11,Club12,5,4,H,1.84,3.32,3.71,2.02,1.65,,,,
Example2,19/11/00,Club13,Club10,1,2,A,2.25,3.19,2.84,1.73,1.97,11,13,7,6
Example2,19/11/00,Club15,Club8,1,1,D,2.19,2.96,3.54,1.58,2.28,,,,
Example2,19/11/00,Club2,Club6,0,0,D,2.25,2.36,4.08,1.97,1.75,8,3,3,1
Example2,19/11/00,Club1,Club4,1,2,A,2.17,3.33,3.38,1.77,2.05,11,9,6,4
Example2,19/11/00,Club3,Club5,0,0,D,2.12,3.33,3.4,2.04,1.76,15,12,5,5
Example2,29/11/00,Club14,Club7,0,0,D,2.01,3.13,3.75,1.48,2.48,,,,
Example2,29/11/00,Club12,Club9,2,0,H,1.52,4.43,5.72,2.67,1.45,18,8,7,3
Example2,29/11/00,Club10,Club11,3,1,H,2.69,3.06,2.46,1.89,1.85,11,6,6,3
Example2,29/11/00,Club8,Club13,2,1,H,5.36,3.49,1.57,1.88,1.85,,,,
Example2,29/11/00,Club6,Club15,1,3,A,2.9,2.8,2.48,1.58,2.25,,,,
Example2,29/11/00,Club4,Club2,2,3,A,3.4,3.16,2.16,1.67,2.12,7,9,4,5
Example2,29/11/00,Club3,Club1,3,1,H,2.12,3.27,3.22,2.1,1.68,,,,
Example2,09/12/00,Club5,Club14,3,0,H,1.17,6.88,16.27,2.54,1.47,23,9,10,5
Example2,09/12/00,Club7,Club12,0,0,D,1.78,3.3,5.03,1.55,2.39,13,5,2,0
Example2,09/12/00,Club9,Club10,2,0,H,3.26,3.21,2.04,1.89,1.82,15,13,5,9
Example2,09/12/00,Club11,Club8,2,1,H,2.13,3.22,3.4,1.67,2.14,,,,
Example2,09/12/00,Club13,Club6,2,4,A,1.8,3.36,4.41,1.76,2.01,14,18,9,15
Example2,09/12/00,Club15,Club4,1,2,A,1.76,3.52,4.77,1.96,1.81,7,11,7,5
Example2,09/12/00,Club1,Club2,2,1,H,2.24,3.46,3.25,2.09,1.76,14,20,6,9
Example2,19/12/00,Club14,Club3,1,1,D,2.45,3.19,2.68,1.7,2.03,9,11,4,5
Example2,19/12/00,Club12,Club5,1,2,A,4.65,3.74,1.71,2.05,1.74,7,9,3,6
Example2,19/12/00,Club10,Club7,3,1,H,1.04,17.52,45.03,5.52,1.14,27,2,14,1
Example2,19/12/00,Club8,Club9,1,1,D,1.96,3.35,4.08,1.69,2.14,16,7,6,4
Example2,19/12/00,Club6,Club11,3,1,H,1.09,10.11,24.81,3.84,1.23,22,13,8,6
Example2,19/12/00,Club4,Club13,4,1,H,1.75,3.22,4.27,1.69,2,,,,
Example2,19/12/00,Club2,Club15,3,3,D,2.37,3.18,3.2,1.59,2.33,11,6,4,4
Example2,01/02/01,Club15,Club1,1,0,H,1.49,3.68,6.63,1.73,1.99,9,10,2,5
Example2,01/02/01,Club13,Club2,1,2,A,2.14,2.94,3.23,1.67,2.06,,,,
Example2,01/02/01,Club11,Club4,1,1,D,2.1,3.22,3.19,1.83,1.91,,,,
Example2,01/02/01,Club9,Club6,1,0,H,4.5,3.37,1.69,1.96,1.7,,,,
Example2,01/02/01,Club7,Club8,0,1,A,3.65,3.29,2.07,1.64,2.17,9,19,3,7
Example2,01/02/01,Club5,Club10,2,1,H,1.77,3.45,4.77,1.65,2.19,16,8,9,2
Example2,01/02/01,Club3,Club12,1,0,H,1.59,3.69,6.27,1.77,2.03,13,4,6,4
Example2,11/02/01,Club1,Club14,1,1,D,1.95,3.49,3.7,1.97,1.81,9,11,4,6
Example2,11/02/01,Club15,Club13,2,2,D,1.17,7.7,16.12,2.96,1.39,17,9,7,3
Example2,11/02/01,Club2,Club11,1,4,A,2.1,3.21,3.16,1.71,2.01,11,10,4,5
Example2,11/02/01,Club4,Club9,2,1,H,1.6,3.65,5.75,2.05,1.72,14,4,4,2
Example2,11/02/01,Club6,Club7,2,1,H,1.84,3.05,4.62,1.65,2.1,,,,
Example2,11/02/01,Club8,Club5,3,2,H,2.43,3.26,3,1.78,2.04,12,7,5,4
Example2,11/02/01,Club10,Club3,0,0,D,4.46,3.74,1.8,2.01,1.81,9,16,2,6
Example2,21/02/01,Club12,Club14,4,0,H,2.23,3.3,3.06,1.96,1.81,12,1,6,1
Example2,21/02/01,Club1,Club13,2,2,D,2.37,3.44,2.97,2.05,1.76,13,10,3,3
Example2,21/02/01,Club11,Club15,2,0,H,1.38,5.08,7.7,2.93,1.39,12,22,7,3
Example2,21/02/01,Club9,Club2,0,2,A,3.31,3.36,2.19,1.77,2.01,17,11,2,3
Example2,21/02/01,Club7,Club4,4,0,H,1.69,3.25,4.94,1.52,2.37,,,,
Example2,21/02/01,Club5,Club6,4,1,H,2.07,2.97,3.43,1.52,2.27,,,,
Example2,21/02/01,Club3,Club8,6,0,H,1.42,4.38,7.01,2.19,1.62,,,,
Example2,03/03/01,Club14,Club10,2,3,A,4.35,4.03,1.69,3.03,1.35,,,,
Example2,03/03/01,Club12,Club1,3,0,H,1.97,3.22,3.88,1.7,2.12,,,,
Example2,03/03/01,Club13,Club11,0,4,A,2.49,2.74,2.84,1.86,1.98,,,,
Example2,03/03/01,Club15,Club9,2,1,H,2.66,3.24,2.64,1.79,1.99,19,13,12,5
Example2,03/03/01,Club2,Club7,4,3,H,1.79,3.31,3.98,2,1.71,,,,
Example2,03/03/01,Club4,Club5,2,1,H,1.74,3.37,4.15,2,1.68,,,,
Example2,03/03/01,Club6,Club3,0,2,A,6.62,3.65,1.52,1.76,1.99,12,14,3,8
Example2,13/03/01,Club8,Club14,0,1,A,8.94,4.91,1.38,2.13,1.71,10,18,1,3
Example2,13/03/01,Club10,Club12,1,0,H,1.9,3.67,4.07,2.18,1.7,6,14,2,4
Example2,13/03/01,Club1,Club11,1,0,H,1.4,4.45,8.43,2.08,1.74,15,6,9,2
Example2,13/03/01,Club9,Club13,3,4,A,2.55,3.3,2.71,1.89,1.89,14,15,7,7
Example2,13/03/01,Club7,Club15,2,2,D,2.84,2.93,2.45,1.69,2.08,,,,
Example2,13/03/01,Club5,Club2,4,0,H,1.63,3.9,5.15,2.02,1.75,17,5,11,2
Example2,13/03/01,Club3,Club4,1,0,H,1.68,3.8,5.05,1.93,1.85,17,6,4,1
Example2,23/03/01,Club14,Club6,1,2,A,1.23,5.98,12.91,2.46,1.52,25,6,7,4
Example2,23/03/01,Club12,Club8,2,2,D,3.28,3.29,2.25,1.75,2.08,24,15,9,3
Example2,23/03/01,Club10,Club1,3,0,H,1.87,3.46,4.04,2.01,1.77,23,10,5,1
Example2,23/03/01,Club11,Club9,0,0,D,1.88,3.15,4.37,1.62,2.22,,,,
Example2,23/03/01,Club13,Club7,2,1,H,1.46,4.54,7.17,2.02,1.79,13,7,4,3
Example2,23/03/01,Club15,Club5,0,0,D,2.65,2.81,2.9,1.37,2.88,18,9,10,4
Example2,23/03/01,Club2,Club3,0,3,A,4.37,3.43,1.73,2.1,1.66,5,12,2,6
Example2,02/04/01,Club4,Club14,0,4,A,1.86,3.37,3.98,2.13,1.65,,,,
Example2,02/04/01,Club6,Club12,4,0,H,1.93,3.71,3.77,2.32,1.59,18,18,8,5
Example2,02/04/01,Club8,Club10,2,1,H,2.24,2.89,3.63,1.46,2.64,13,7,4,3
Example2,02/04/01,Club1,Club9,1,2,A,2.39,3.26,2.61,1.93,1.73,,,,
Example2,02/04/01,Club7,Club11,1,1,D,2.11,3.15,3.48,1.58,2.31,,,,
Example2,02/04/01,Club5,Club13,1,0,H,1.39,4.64,7.48,2.35,1.56,15,16,6,2
Example2,02/04/01,Club3,Club15,1,0,H,1.74,2.95,5.22,1.59,2.14,,,,
Example2,12/04/01,Club14,Club2,0,0,D,3.55,3.29,2.07,1.76,2.03,6,16,2,4
Example2,12/04/01,Club12,Club4,0,0,D,1.56,3.72,6.42,1.85,1.92,19,7,2,1
Example2,12/04/01,Club10,Club6,1,0,H,3.01,3.31,2.28,1.92,1.86,13,11,6,6
Example2,12/04/01,Club8,Club1,1,0,H,2.18,3.11,3.46,1.61,2.26,9,12,3,0
Example2,12/04/01,Club9,Club7,2,0,H,1.54,3.67,5.86,1.77,1.98,,,,
Example2,12/04/01,Club11,Club5,2,0,H,1.45,4.31,7.08,1.96,1.82,,,,
Example2,12/04/01,Club13,Club3,0,1,A,3.04,3.58,2.27,2.34,1.59,28,8,11,2
Example2,22/04/01,Club15,Club14,2,1,H,2.5,2.92,2.92,1.43,2.66,,,,
Example2,22/04/01,Club2,Club12,0,2,A,6.35,3.7,1.56,1.8,1.95,4,12,1,4
Example2,22/04/01,Club4,Club10,1,4,A,4.79,3.52,1.8,1.74,2.01,,,,
Example2,22/04/01,Club6,Club8,1,1,D,1.84,3.21,4.38,1.51,2.41,,,,
Example2,22/04/01,Club1,Club7,0,0,D,1.43,4.21,8.2,1.95,1.83,16,5,8,4
Example2,22/04/01,Club5,Club9,2,1,H,2.23,3.22,2.96,1.76,1.94,9,5,4,2
Example2,22/04/01,Club3,Club11,2,2,D,2.14,3.29,3.59,1.67,2.18,25,10,7,3
Example2,02/05/01,Club14,Club13,5,0,H,1.53,4.67,5.62,2.83,1.42,22,5,10,1
Example2,02/05/01,Club12,Club15,1,3,A,2.02,3.39,3.37,1.91,1.83,8,9,4,4
Example2,02/05/01,Club10,Club2,0,0,D,2.11,3.2,3.08,1.72,1.97,,,,
Example2,02/05/01,Club8,Club4,1,1,D,1.78,3.38,4.3,1.74,2.01,,,,
Example2,02/05/01,Club6,Club1,0,1,A,4.28,3.38,1.79,2.27,1.57,17,17,11,5
Example2,02/05/01,Club7,Club5,1,0,H,1.54,3.87,6.32,1.82,1.96,,,,
Example2,02/05/01,Club9,Club3,4,1,H,1.37,4.76,9.77,1.87,1.96,14,7,8,1
Example2,12/05/01,Club11,Club14,2,0,H,4.3,3.72,1.79,2.03,1.79,8,21,4,9
Example2,12/05/01,Club13,Club12,0,0,D,2.07,2.94,3.9,1.44,2.67,,,,
Example2,12/05/01,Club15,Club10,2,0,H,1.9,3.26,3.85,1.71,2.03,11,4,4,2
Example2,12/05/01,Club2,Club8,3,3,D,3.12,2.82,2.52,1.5,2.52,8,22,5,11
Example2,12/05/01,Club4,Club6,1,1,D,1.89,3.53,3.96,1.92,1.85,18,11,5,3
Example2,12/05/01,Club1,Club5,1,0,H,2.6,3.4,2.72,2.01,1.8,13,17,3,4
Example2,12/05/01,Club3,Club7,1,0,H,1.59,3.14,5.98,1.61,2.13,,,,
Example2,22/05/01,Club14,Club9,0,1,A,2.37,3,3.12,1.55,2.35,,,,
Example2,22/05/01,Club12,Club11,2,0,H,1.22,5.36,12.85,2.11,1.65,34,12,7,3
Example2,22/05/01,Club10,Club13,0,0,D,1.7,3.08,5.96,1.63,2.16,,,,
Example2,22/05/01,Club8,Club15,0,2,A,2.5,2.89,3.09,1.58,2.34,12,14,4,4
Example2,22/05/01,Club6,Club2,3,3,D,2.13,3.23,3.66,1.57,2.37,11,17,5,5
Example2,22/05/01,Club4,Club1,4,0,H,1.14,7.8,18.43,2.81,1.41,25,5,11,2
Example2,22/05/01,Club5,Club3,1,3,A,2.52,2.85,3.05,1.54,2.4,12,10,7,5
Example2,01/06/01,Club7,Club14,2,2,D,3.73,4.03,1.88,2.65,1.46,15,6,8,3
Example2,01/06/01,Club9,Club12,0,2,A,2.42,3.09,3.01,1.75,2.04,11,16,3,3
Example2,01/06/01,Club11,Club10,1,0,H,1.4,4.05,7.88,1.72,2.05,,,,
Example2,01/06/01,Club13,Club8,0,0,D,2.25,3.17,2.79,1.77,1.91,10,10,6,4
Example2,01/06/01,Club15,Club6,0,0,D,2.23,2.99,3.33,1.47,2.55,,,,
Example2,01/06/01,Club2,Club4,2,0,H,3.09,3.19,2.34,1.75,2.06,14,14,5,5
Example2,01/06/01,Club1,Club3,0,1,A,3.03,3.23,2.33,1.6,2.29,7,8,3,4
Example2,11/06/01,Club14,Club5,5,0,H,1.98,3.24,3.77,1.59,2.27,,,,
Example2,11/06/01,Club12,Club7,1,1,D,1.94,3.37,3.86,1.74,2.04,26,14,14,8
Example2,11/06/01,Club10,Club9,1,2,A,1.94,3.17,3.9,1.54,2.34,,,,
Example2,11/06/01,Club8,Club11,0,1,A,2.06,3.47,3.61,1.91,1.89,20,14,3,6
Example2,11/06/01,Club6,Club13,1,2,A,2.72,3.17,2.4,1.71,2.02,18,8,10,4
Example2,11/06/01,Club4,Club15,1,0,H,2.36,3.13,2.74,1.68,2.03,13,11,7,3
Example2,11/06/01,Club2,Club1,0,0,D,1.39,3.91,7.38,2.12,1.59,,,,
Example2,21/06/01,Club3,Club14,1,1,D,2.93,3.27,2.45,1.85,1.96,10,21,5,7
Example2,21/06/01,Club5,Club12,1,2,A,2.12,3.52,3.29,2.34,1.56,13,11,7,4
Example2,21/06/01,Club7,Club10,1,0,H,1.66,3.78,5.71,1.77,2.06,10,12,4,5
Example2,21/06/01,Club9,Club8,2,3,A,2.53,2.84,3.05,1.46,2.6,,,,
Example2,21/06/01,Club11,Club6,4,1,H,2.46,3.25,2.71,2.12,1.66,18,10,10,3
Example2,21/06/01,Club13,Club4,1,0,H,2.72,3.03,2.6,1.57,2.29,,,,
Example2,21/06/01,Club15,Club2,1,2,A,1.28,5.94,10.6,2.24,1.66,16,5,4,3
