,league,date,teamHome,teamAway,goalsHome,goalsAway,result,shotsHome,shotsAway,shotsTargetHome,shotsTargetAway,oddsHome,oddsDraw,oddsAway,oddsUnder25,oddsOver25,season,round,pointsHome,pointsAway,avgGoalsHome,avgGoalsAway,avgGoalsAgainstHome,avgGoalsAgainstAway,avgPointsHome,avgPointsAway,avgGoalsHomeAllTeams,avgGoalsAwayAllTeams,anticipatedGoalsHomeAverage,anticipatedGoalsAwayAverage,probHome,probDraw,probAway,probOver25,probUnder25
22,Example2,2000-08-11,Club13,Club15,4,1,H,10.0,15.0,5.0,4.0,1.23,5.93,11.58,2.32,1.58,2000/2001,first,3,0,0.0,0.0,1.0,3.0,0.0,0.0,1.3181818181818181,1.0000000000000002,1.8181818181818181,0.5000000000000002,0.7612450072999013,0.15789736239104193,0.08085763030905686,0.5948717948717949,0.4051282051282052
23,Example2,2000-08-11,Club14,Club1,0,2,A,,,,,2.11,3.15,3.5,1.56,2.32,2000/2001,first,0,3,0.0,3.0,0.0,0.0,0.0,3.0,1.434782608695652,1.0000000000000002,0.6847826086956521,1.7500000000000002,0.44000558737253803,0.29473390138287464,0.2652605112445872,0.4020618556701031,0.5979381443298969
24,Example2,2000-08-11,Club3,Club10,0,1,A,,,,,1.7,3.27,5.15,1.47,2.53,2000/2001,first,0,3,2.0,0.0,0.0,0.0,3.0,1.0,1.375,1.0416666666666667,1.875,0.5416666666666667,0.5405479144264874,0.28101879343273045,0.17843329214078224,0.36750000000000005,0.6325
25,Example2,2000-08-11,Club5,Club8,1,0,H,,,,,2.19,3.0,3.42,1.6,2.26,2000/2001,first,3,0,0.0,0.0,0.0,1.0,1.0,0.0,1.32,1.04,1.57,0.79,0.42187846939530754,0.3079712826585745,0.27015024794611797,0.4145077720207254,0.5854922279792746
26,Example2,2000-08-11,Club7,Club6,2,0,H,10.0,19.0,3.0,8.0,2.52,3.26,2.81,1.77,2.01,2000/2001,first,3,0,1.0,3.0,0.0,0.0,3.0,3.0,1.3076923076923077,1.0,0.8076923076923077,1.5,0.37455943083779697,0.2895367379482357,0.33590383121396744,0.46825396825396826,0.5317460317460317
27,Example2,2000-08-11,Club9,Club4,3,0,H,25.0,13.0,16.0,9.0,1.3,5.02,10.69,2.6,1.45,2000/2001,first,3,0,0.0,0.0,3.0,6.0,0.0,0.0,1.3333333333333333,0.9629629629629629,2.083333333333333,0.2129629629629629,0.7243368589276362,0.1875772742242883,0.08808586684807553,0.6419753086419754,0.35802469135802467
28,Example3,2000-08-11,Squad11,Squad2,1,2,A,6.0,3.0,1.0,2.0,3.98,3.33,1.9,1.83,1.93,2000/2001,first,0,3,1.0,2.0,4.0,0.0,0.0,3.0,1.3928571428571428,0.9285714285714286,0.1428571428571428,2.178571428571429,0.23310392596085827,0.27860469228955437,0.48829138174958736,0.48670212765957455,0.5132978723404255
29,Example3,2000-08-11,Squad13,Squad15,0,0,D,13.0,14.0,9.0,7.0,2.22,3.22,3.18,1.7,2.06,2000/2001,first,1,1,0.0,0.0,2.0,1.0,0.0,0.0,1.3793103448275863,0.9655172413793104,1.1293103448275863,1.2155172413793105,0.4188386590094733,0.28876454130466794,0.29239679968585874,0.4521276595744681,0.547872340425532
30,Example3,2000-08-11,Squad14,Squad1,6,0,H,19.0,5.0,9.0,0.0,1.69,3.79,4.76,2.26,1.62,2000/2001,first,3,0,0.0,1.0,0.0,0.0,0.0,3.0,1.3333333333333333,0.9333333333333333,1.0833333333333333,1.1833333333333333,0.5552617890482888,0.24759694551229766,0.1971412654394135,0.5824742268041238,0.41752577319587636
31,Example3,2000-08-11,Squad3,Squad10,3,1,H,,,,,2.34,3.42,2.85,2.45,1.51,2000/2001,first,3,0,3.0,4.0,2.0,0.0,3.0,3.0,1.4838709677419355,0.9032258064516129,0.7338709677419355,1.653225806451613,0.3991596638655463,0.273109243697479,0.3277310924369748,0.6186868686868687,0.38131313131313127
32,Example3,2000-08-11,Squad5,Squad8,1,3,A,,,,,2.16,3.02,3.4,1.47,2.56,2000/2001,first,0,3,0.0,1.0,4.0,1.0,0.0,1.0,1.53125,0.90625,0.53125,1.90625,0.42543670655308424,0.30428585634260336,0.27027743710431235,0.3647642679900745,0.6352357320099257
33,Example3,2000-08-11,Squad7,Squad6,0,3,A,,,,,2.64,3.1,2.64,1.82,1.94,2000/2001,first,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.5151515151515151,0.9696969696969697,1.5151515151515151,0.9696969696969697,0.35067873303167424,0.2986425339366516,0.35067873303167424,0.4840425531914894,0.5159574468085106
34,Example3,2000-08-11,Squad9,Squad4,3,0,H,,,,,1.76,3.43,4.37,1.87,1.87,2000/2001,first,3,0,1.0,4.0,1.0,1.0,1.0,3.0,1.4705882352941178,1.0294117647058822,0.7205882352941178,1.7794117647058822,0.521957300702369,0.2678264866577753,0.21021621263985568,0.5,0.5
35,Example1,2000-08-11,Team11,Team2,0,0,D,,,,,2.27,3.01,3.3,1.51,2.42,2000/2001,first,1,1,0.0,2.0,1.0,1.0,0.0,3.0,1.5142857142857142,1.0,1.0142857142857142,1.5,0.409495108567942,0.3088218925080493,0.2816829989240086,0.3842239185750636,0.6157760814249365
36,Example1,2000-08-11,Team13,Team15,1,2,A,,,,,1.77,2.95,5.0,1.67,2.06,2000/2001,first,0,3,1.0,1.0,2.0,0.0,0.0,3.0,1.4722222222222223,0.9722222222222222,0.9722222222222223,1.4722222222222223,0.5117707267144319,0.3070624360286591,0.1811668372569089,0.44772117962466484,0.5522788203753352
37,Example1,2000-08-11,Team14,Team1,2,3,A,20.0,14.0,6.0,10.0,3.42,3.02,2.21,1.53,2.39,2000/2001,first,0,3,0.0,0.0,0.0,1.0,0.0,0.0,1.4594594594594594,1.0,1.7094594594594594,0.75,0.27174196280251456,0.30773427575649004,0.4205237614409954,0.3903061224489796,0.6096938775510204
38,Example1,2000-08-11,Team3,Team10,2,0,H,,,,,1.38,4.15,7.49,2.01,1.72,2000/2001,first,3,0,3.0,3.0,1.0,1.0,3.0,3.0,1.4736842105263157,1.0526315789473684,1.4736842105263157,1.0526315789473684,0.6592932273096527,0.2192348563101977,0.1214719163801496,0.5388739946380697,0.4611260053619303
39,Example1,2000-08-11,Team5,Team8,4,0,H,,,,,1.51,3.87,6.3,1.93,1.86,2000/2001,first,3,0,1.0,0.0,3.0,1.0,0.0,0.0,1.4871794871794872,1.0256410256410255,1.2371794871794872,1.2756410256410255,0.6135483432609337,0.2393948316082712,0.14705682513079518,0.5092348284960422,0.4907651715039578
40,Example1,2000-08-11,Team7,Team6,0,1,A,29.0,9.0,5.0,2.0,1.34,4.48,9.35,2.17,1.63,2000/2001,first,0,3,1.0,0.0,0.0,0.0,3.0,1.0,1.55,1.0,1.8,0.75,0.6932780758752867,0.2073644244805545,0.09935749964415874,0.5710526315789474,0.42894736842105263
41,Example1,2000-08-11,Team9,Team4,1,0,H,,,,,1.65,3.48,4.81,2.11,1.66,2000/2001,first,3,0,0.0,1.0,0.0,0.0,1.0,3.0,1.5121951219512195,1.0,1.2621951219512195,1.25,0.5503052539180007,0.2609205945300865,0.18877415155191293,0.5596816976127321,0.44031830238726793
42,Example2,2000-08-21,Club13,Club1,1,1,D,,,,,2.34,2.69,3.2,1.47,2.41,2000/2001,first,1,1,2.0,2.5,1.0,0.0,1.5,3.0,1.5,0.9761904761904762,1.125,1.3511904761904763,0.38444704474198993,0.3344260537904299,0.2811269014675801,0.3788659793814433,0.6211340206185567
43,Example2,2000-08-21,Club14,Club12,5,0,H,,,,,1.27,4.84,9.43,2.05,1.68,2000/2001,first,3,0,0.0,0.0,2.0,2.0,0.0,0.0,1.4883720930232558,0.9767441860465116,1.4883720930232558,0.9767441860465116,0.7157820780031396,0.18781885104627838,0.09639907095058191,0.549597855227882,0.450402144772118
44,Example2,2000-08-21,Club15,Club11,1,1,D,10.0,13.0,5.0,5.0,1.58,4.16,5.25,2.15,1.69,2000/2001,first,1,1,0.5,3.0,3.5,0.0,0.0,2.0,1.5681818181818181,0.9545454545454546,0.06818181818181812,2.4545454545454546,0.5949689166880063,0.22597377124207935,0.17905731206991432,0.5598958333333334,0.44010416666666663
45,Example2,2000-08-21,Club2,Club9,2,1,H,17.0,11.0,6.0,6.0,1.89,3.38,4.08,1.82,1.97,2000/2001,first,3,0,0.5,1.5,0.0,1.5,2.0,1.5,1.5555555555555556,0.9555555555555556,1.6805555555555556,0.8305555555555556,0.49446034033947894,0.2764881784738506,0.22905148118667035,0.4802110817941952,0.5197889182058046
46,Example2,2000-08-21,Club4,Club7,2,2,D,,,,,1.78,3.37,4.62,1.63,2.21,2000/2001,first,1,1,0.0,1.5,4.5,0.0,0.0,3.0,1.565217391304348,0.9565217391304348,0.0652173913043479,2.4565217391304346,0.5226104002470495,0.276037540783308,0.20135205896964242,0.4244791666666667,0.5755208333333334
47,Example2,2000-08-21,Club6,Club5,4,2,H,,,,,2.37,3.02,3.05,1.72,2.07,2000/2001,first,3,0,1.5,0.5,1.0,0.0,1.5,2.0,1.574468085106383,0.9787234042553191,1.574468085106383,0.9787234042553191,0.3903478846797672,0.3063326114871021,0.30331950383313067,0.45382585751978893,0.5461741424802111
48,Example2,2000-08-21,Club8,Club3,1,2,A,,,,,2.28,2.95,3.02,1.8,1.95,2000/2001,first,0,3,0.0,1.0,1.0,0.5,0.0,1.5,1.625,1.0,1.25,1.375,0.3955933678498797,0.3057467385416019,0.29865989360851847,0.48,0.5199999999999999
49,Example3,2000-08-21,Squad13,Squad1,3,3,D,,,,,2.34,3.27,2.73,2.16,1.62,2000/2001,first,1,1,0.0,0.5,1.0,3.0,0.5,1.5,1.6122448979591837,1.0204081632653061,1.9872448979591837,0.6454081632653061,0.3886907794192563,0.2781456953642384,0.33316352521650533,0.5714285714285714,0.42857142857142855
50,Example3,2000-08-21,Squad14,Squad12,1,1,D,11.0,16.0,3.0,6.0,3.16,3.0,2.38,1.54,2.39,2000/2001,first,1,1,6.0,2.0,0.0,3.0,3.0,0.0,1.64,1.06,3.3899999999999997,-0.69,0.2957648462354189,0.31153897136797454,0.39269618239660664,0.39185750636132316,0.6081424936386769
51,Example3,2000-08-21,Squad15,Squad11,2,2,D,22.0,8.0,7.0,4.0,1.38,4.18,7.85,1.91,1.83,2000/2001,first,1,1,0.0,1.0,0.5,3.0,0.5,0.0,1.6274509803921569,1.0588235294117647,2.002450980392157,0.6838235294117647,0.6640372037300868,0.21922759357596164,0.11673520269395153,0.5106951871657753,0.48930481283422456
52,Example3,2000-08-21,Squad2,Squad9,2,1,H,,,,,2.14,3.36,3.28,1.99,1.79,2000/2001,first,3,0,2.0,2.0,0.5,0.5,3.0,2.0,1.6346153846153846,1.0769230769230769,1.6346153846153846,1.0769230769230769,0.4368063922886677,0.2782040712790919,0.2849895364322405,0.5264550264550264,0.4735449735449735
53,Example3,2000-08-21,Squad4,Squad7,0,2,A,,,,,2.1,3.34,3.36,1.84,1.93,2000/2001,first,0,3,2.0,0.5,2.0,2.0,1.5,0.5,1.6415094339622642,1.0754716981132075,2.0165094339622645,0.7004716981132075,0.443706409830621,0.2789770840252408,0.27731650614413816,0.48806366047745364,0.5119363395225464
54,Example3,2000-08-21,Squad6,Squad5,0,4,A,5.0,16.0,1.0,7.0,1.96,3.51,3.73,2.14,1.7,2000/2001,first,0,3,2.0,0.5,0.5,3.5,2.0,0.0,1.6111111111111112,1.0925925925925926,2.736111111111111,-0.03240740740740744,0.4798755255161696,0.2679646809150121,0.25215979356881835,0.5572916666666667,0.44270833333333337
55,Example3,2000-08-21,Squad8,Squad3,1,0,H,10.0,10.0,6.0,5.0,1.96,3.17,4.0,1.63,2.2,2000/2001,first,3,0,2.0,3.0,1.0,1.5,2.0,3.0,1.5818181818181818,1.1454545454545455,1.4568181818181818,1.2704545454545455,0.4743165801325693,0.2932682956024718,0.23241512426495894,0.42558746736292424,0.5744125326370757
56,Example1,2000-08-21,Team13,Team1,1,4,A,,,,,1.39,4.03,7.32,1.84,1.88,2000/2001,first,0,3,1.0,1.5,2.0,1.5,0.0,1.5,1.5714285714285714,1.125,1.3214285714285714,1.375,0.651549051265458,0.22472783654069142,0.1237231121938506,0.4946236559139785,0.5053763440860215
57,Example1,2000-08-21,Team14,Team12,1,0,H,,,,,2.28,2.95,3.21,1.54,2.38,2000/2001,first,3,0,2.0,1.0,3.0,3.0,0.0,0.0,1.5614035087719298,1.1754385964912282,1.8114035087719298,0.9254385964912282,0.40271239203378373,0.3112488996057718,0.2860387083604445,0.39285714285714285,0.6071428571428571
58,Example1,2000-08-21,Team15,Team11,0,1,A,12.0,17.0,3.0,3.0,2.06,3.39,3.71,1.75,2.09,2000/2001,first,0,3,1.5,0.0,0.5,0.5,3.0,0.5,1.5517241379310345,1.1551724137931034,1.9267241379310345,0.7801724137931034,0.4623367361568068,0.28094798716313335,0.25671527668005983,0.4557291666666667,0.5442708333333333
59,Example1,2000-08-21,Team2,Team9,1,1,D,16.0,11.0,6.0,5.0,1.7,3.53,5.07,1.69,2.1,2000/2001,first,1,1,1.0,0.5,0.5,0.0,2.0,2.0,1.5254237288135593,1.152542372881356,1.5254237288135593,1.152542372881356,0.5503904099689088,0.2650605373787946,0.1845490526522968,0.445910290237467,0.554089709762533
60,Example1,2000-08-21,Team4,Team7,1,0,H,16.0,3.0,7.0,1.0,1.37,4.65,9.03,2.18,1.67,2000/2001,first,3,0,0.5,0.5,0.5,0.5,1.5,1.5,1.5166666666666666,1.15,1.5166666666666666,1.15,0.6914002874968509,0.20370288040229798,0.10489683210085114,0.5662337662337663,0.43376623376623374
61,Example1,2000-08-21,Team6,Team5,2,1,H,,,,,2.3,3.2,2.74,1.81,1.9,2000/2001,first,3,0,0.5,2.5,0.0,1.5,2.0,1.5,1.5081967213114753,1.1311475409836065,1.3831967213114753,1.2561475409836065,0.3909050378956755,0.28096299598751673,0.32813196611680784,0.4878706199460916,0.5121293800539084
62,Example1,2000-08-21,Team8,Team3,4,1,H,,,,,3.82,3.16,2.02,1.65,2.17,2000/2001,first,3,0,0.0,2.5,2.5,0.5,0.0,3.0,1.5161290322580645,1.1290322580645162,0.3911290322580645,2.254032258064516,0.2439054213092454,0.29484769284851814,0.46124688584223633,0.43193717277486904,0.5680628272251308
63,Example2,2000-08-31,Club1,Club12,0,3,A,12.0,15.0,2.0,5.0,4.43,3.14,1.83,1.94,1.8,2000/2001,first,0,3,2.0,0.0,0.3333333333333333,3.5,2.3333333333333335,0.0,1.5555555555555556,1.126984126984127,2.8472222222222223,-0.16468253968253976,0.20697107332341622,0.292000590707877,0.5010283359687069,0.5187165775401069,0.48128342245989303
64,Example2,2000-08-31,Club10,Club14,0,0,D,,,,,3.18,3.26,2.19,1.81,1.95,2000/2001,first,1,1,0.5,2.5,0.0,1.0,2.0,1.5,1.53125,1.15625,1.28125,1.40625,0.2917565712043939,0.2845969007453904,0.42364652805021585,0.4813829787234043,0.5186170212765957
65,Example2,2000-08-31,Club11,Club13,4,0,H,20.0,4.0,12.0,0.0,1.65,3.58,5.11,2.34,1.55,2000/2001,first,3,0,2.3333333333333335,1.6666666666666667,0.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,1.5076923076923077,1.1384615384615384,1.841025641025641,0.8051282051282052,0.5606040640714876,0.2583789680776409,0.18101696785087168,0.6015424164524421,0.39845758354755784
66,Example2,2000-08-31,Club3,Club6,0,0,D,,,,,2.13,3.15,3.1,1.71,2.0,2000/2001,first,1,1,1.3333333333333333,2.3333333333333335,0.6666666666666666,1.3333333333333333,2.0,2.0,1.5454545454545454,1.121212121212121,1.462121212121212,1.2045454545454546,0.42313942151446216,0.2861228469288268,0.29073773155671107,0.46091644204851756,0.5390835579514824
67,Example2,2000-08-31,Club5,Club4,1,3,A,15.0,9.0,7.0,4.0,1.57,3.33,6.1,1.58,2.17,2000/2001,first,0,3,1.0,0.6666666666666666,1.3333333333333333,3.6666666666666665,1.3333333333333333,0.3333333333333333,1.5223880597014925,1.1044776119402986,2.189054726368159,0.43781094527363185,0.5784196753241206,0.27270837545311394,0.1488719492227655,0.42133333333333334,0.5786666666666666
68,Example2,2000-08-31,Club7,Club2,1,1,D,7.0,17.0,3.0,2.0,2.39,3.25,3.08,1.78,2.02,2000/2001,first,1,1,1.6666666666666667,1.0,0.6666666666666666,0.3333333333333333,2.3333333333333335,2.3333333333333335,1.5147058823529411,1.1323529411764706,1.5980392156862744,1.0490196078431373,0.3981908372350201,0.2928234156897533,0.30898574707522664,0.4684210526315789,0.531578947368421
69,Example2,2000-08-31,Club9,Club15,3,0,H,17.0,10.0,10.0,3.0,2.24,3.27,3.32,1.78,2.03,2000/2001,first,3,0,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.6666666666666665,1.0,0.3333333333333333,1.5072463768115942,1.1304347826086956,1.9239130434782608,0.7137681159420289,0.42378015457881174,0.2902958857053634,0.28592395971582485,0.4671916010498688,0.5328083989501312
70,Example3,2000-08-31,Squad1,Squad12,2,0,H,22.0,4.0,13.0,1.0,1.19,6.17,13.68,2.33,1.54,2000/2001,first,3,0,1.3333333333333333,1.5,3.0,2.0,1.3333333333333333,0.5,1.5285714285714285,1.1142857142857143,1.2369047619047617,1.405952380952381,0.7813372755540045,0.1506955199204644,0.0679672045255311,0.6020671834625323,0.3979328165374677
71,Example3,2000-08-31,Squad10,Squad14,0,1,A,6.0,5.0,3.0,1.0,2.78,3.4,2.43,1.99,1.82,2000/2001,first,0,3,2.5,3.5,1.5,0.5,1.5,2.0,1.5352112676056338,1.0985915492957747,1.0352112676056338,1.5985915492957747,0.3376462030127425,0.2760754248163012,0.38627837217095634,0.5223097112860893,0.47769028871391084
72,Example3,2000-08-31,Squad11,Squad13,2,2,D,,,,,2.33,2.7,3.25,1.62,2.12,2000/2001,first,1,1,1.3333333333333333,1.0,2.6666666666666665,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.5138888888888888,1.0972222222222223,1.3472222222222223,1.2638888888888888,0.38761402036354003,0.33449654349890673,0.27788943613755335,0.4331550802139037,0.5668449197860962
73,Example3,2000-08-31,Squad3,Squad6,1,0,H,,,,,1.68,3.46,4.41,1.93,1.79,2000/2001,first,3,0,2.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,2.0,1.3333333333333333,1.5205479452054795,1.1095890410958904,1.7705479452054795,0.8595890410958904,0.5357616870668043,0.2601386226220322,0.2040996903111635,0.5188172043010751,0.48118279569892475
74,Example3,2000-08-31,Squad5,Squad4,1,2,A,17.0,14.0,5.0,10.0,4.37,3.68,1.81,2.12,1.72,2000/2001,first,0,3,1.6666666666666667,1.3333333333333333,2.3333333333333335,2.0,1.0,1.0,1.5135135135135136,1.0945945945945945,1.5135135135135136,1.0945945945945945,0.21730321902903874,0.2580475725969835,0.5246492083739775,0.5520833333333334,0.44791666666666663
75,Example3,2000-08-31,Squad7,Squad2,0,0,D,5.0,7.0,2.0,3.0,3.91,3.81,1.88,2.25,1.64,2000/2001,first,1,1,1.0,2.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,3.0,1.5066666666666666,1.1066666666666667,1.0899999999999999,1.5233333333333334,0.24354401629338984,0.24993624769216646,0.5065197360144437,0.5784061696658098,0.4215938303341903
76,Example3,2000-08-31,Squad9,Squad15,2,0,H,,,,,1.58,3.94,5.37,2.07,1.73,2000/2001,first,3,0,1.6666666666666667,0.6666666666666666,1.0,1.0,1.3333333333333333,0.6666666666666666,1.486842105263158,1.0921052631578947,1.736842105263158,0.8421052631578947,0.5898861367919793,0.23655332389119985,0.17356053931682075,0.5447368421052632,0.4552631578947368
77,Example1,2000-08-31,Team1,Team12,0,1,A,,,,,4.46,3.13,1.87,1.46,2.6,2000/2001,first,0,3,2.3333333333333335,0.5,1.3333333333333333,2.0,2.0,0.0,1.4935064935064934,1.077922077922078,2.1185064935064934,0.45292207792207795,0.2079025045199286,0.2962444633095468,0.49585303217052473,0.3596059113300492,0.6403940886699507
