,league,date,teamHome,teamAway,goalsHome,goalsAway,result,shotsHome,shotsAway,shotsTargetHome,shotsTargetAway,oddsHome,oddsDraw,oddsAway,oddsUnder25,oddsOver25,season,round,pointsHome,pointsAway,avgGoalsHome,avgGoalsAway,avgGoalsAgainstHome,avgGoalsAgainstAway,avgPointsHome,avgPointsAway,avgGoalsHomeAllTeams,avgGoalsAwayAllTeams,anticipatedGoalsHomeAverage,anticipatedGoalsAwayAverage,probHome,probDraw,probAway,probOver25,probUnder25,anticipatedGoalsHome,anticipatedGoalsAway
10,Example3,2000-08-01,Squad2,Squad13,2,0,H,,,,,1.4,3.96,7.03,1.89,1.82,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,1.2,1.4,1.2,0.6689696965088978,0.21872886468108346,0.11230143881031823,0.5101750101750101,0.48982498982498995,1.975,0.7250000000000001
11,Example3,2000-08-01,Squad4,Squad11,4,1,H,11.0,7.0,4.0,3.0,1.59,3.68,6.28,1.65,2.23,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.4545454545454546,1.0909090909090908,1.4545454545454546,1.0909090909090908,0.6049358606866756,0.2528586501165865,0.1422054891971288,0.42118494360646824,0.5788150563935317,1.675,0.7000000000000001
12,Example3,2000-08-01,Squad6,Squad9,1,1,D,12.0,7.0,5.0,4.0,1.78,3.74,4.48,2.16,1.68,2000/2001,first,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666667,1.0833333333333333,1.6666666666666667,1.0833333333333333,0.5416336783193922,0.25096413166474735,0.20740219001544238,0.5661375661375662,0.4338624338624338,1.85,1.1
13,Example3,2000-08-01,Squad8,Squad7,1,1,D,15.0,17.0,6.0,8.0,4.38,3.54,1.8,1.8,1.97,2000/2001,first,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.6153846153846154,1.0769230769230769,1.6153846153846154,1.0769230769230769,0.20827694947644534,0.26151109941134276,0.5302119511126432,0.476029328821207,0.5239706711787929,0.95,1.625
14,Example1,2000-08-01,Team1,Team15,0,1,A,20.0,5.0,8.0,2.0,4.98,4.09,1.65,2.09,1.74,2000/2001,first,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.5714285714285714,1.0714285714285714,1.5714285714285714,1.0714285714285714,0.18558316656289917,0.22868109671326864,0.5857357367233763,0.5481218720783149,0.45187812792168514,0.975,1.9
15,Example1,2000-08-01,Team10,Team5,3,1,H,10.0,15.0,6.0,4.0,3.16,3.0,2.27,1.74,2.0,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.4666666666666666,1.0666666666666667,1.4666666666666666,1.0666666666666667,0.2873846184786695,0.30388079407513857,0.40873458744663504,0.46264367816091956,0.5373563218390804,1.125,1.375
16,Example1,2000-08-01,Team12,Team3,1,3,A,,,,,2.89,2.05,3.45,1.53,2.25,2000/2001,first,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.5625,1.0625,1.5625,1.0625,0.3055863659679716,0.44322474942320855,0.25118888460918287,0.3954248366013071,0.6045751633986928,1.125,1.025
17,Example1,2000-08-01,Team2,Team13,2,1,H,13.0,11.0,3.0,2.0,3.24,3.24,2.3,1.72,2.11,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5294117647058822,1.1764705882352942,1.5294117647058822,1.1764705882352942,0.291823760368932,0.291823760368932,0.4163524792625926,0.44626915022594504,0.5537308497740548,1.1,1.35
18,Example1,2000-08-01,Team4,Team11,1,0,H,11.0,12.0,3.0,6.0,1.68,3.38,4.52,1.95,1.73,2000/2001,first,3,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5555555555555556,1.1666666666666667,1.5555555555555556,1.1666666666666667,0.5517801185421126,0.2602739437101296,0.1879459377481066,0.5326070846302059,0.467392915369794,1.8,1.0
19,Example1,2000-08-01,Team6,Team9,0,0,D,6.0,14.0,1.0,3.0,2.53,3.21,2.84,1.74,2.06,2000/2001,first,1,1,0.0,0.0,0.0,0.0,0.0,0.0,1.5263157894736843,1.105263157894737,1.5263157894736843,1.105263157894737,0.37501250739052033,0.29249759632742905,0.33248989628159487,0.4553621247628613,0.5446378752371386,1.275,1.2000000000000002
20,Example1,2000-08-01,Team8,Team7,0,1,A,12.0,9.0,0.0,3.0,3.49,3.14,2.26,1.52,2.53,2000/2001,first,0,3,0.0,0.0,0.0,0.0,0.0,0.0,1.45,1.0500000000000003,1.45,1.0500000000000003,0.2714405926048414,0.302998048968563,0.4255613584270568,0.36868109007697114,0.631318909923029,0.925,1.225
21,Example2,2000-08-11,Club11,Club2,0,0,D,18.0,5.0,4.0,2.0,2.25,3.26,3.06,1.95,1.79,2000/2001,first,1,1,6.0,1.0,0.0,0.0,3.0,3.0,1.380952380952381,1.047619047619048,2.630952380952381,-0.2023809523809521,0.4168325925073296,0.281755427144212,0.3014119803488944,0.522919352528291,0.477080647471709,1.5,1.25
22,Example2,2000-08-11,Club13,Club15,4,1,H,10.0,15.0,5.0,4.0,1.23,5.93,11.58,2.32,1.58,2000/2001,first,3,0,0.0,0.0,1.0,3.0,0.0,0.0,1.3181818181818181,1.0000000000000002,1.8181818181818181,0.5000000000000002,0.7828222319070274,0.14864524365537138,0.06853252443787877,0.6009384548232213,0.3990615451767788,2.5,0.625
23,Example2,2000-08-11,Club14,Club1,0,2,A,,,,,2.11,3.15,3.5,1.56,2.32,2000/2001,first,0,3,0.0,3.0,0.0,0.0,0.0,3.0,1.434782608695652,1.0000000000000002,0.6847826086956521,1.7500000000000002,0.4460786899566929,0.29252344961729365,0.2613978604264196,0.3950044208664898,0.6049955791335101,1.3,0.95
24,Example2,2000-08-11,Club3,Club10,0,1,A,,,,,1.7,3.27,5.15,1.47,2.53,2000/2001,first,0,3,2.0,0.0,0.0,0.0,3.0,1.0,1.375,1.0416666666666667,1.875,0.5416666666666667,0.554023227276735,0.27747195025767524,0.16850482246596996,0.35749240407625504,0.642507595923745,1.4500000000000002,0.675
25,Example2,2000-08-11,Club5,Club8,1,0,H,,,,,2.19,3.0,3.42,1.6,2.26,2000/2001,first,3,0,0.0,0.0,0.0,1.0,1.0,0.0,1.32,1.04,1.57,0.79,0.4272531151076403,0.30641664443666183,0.26633024045527803,0.4087389380530974,0.5912610619469026,1.3,1.0
26,Example2,2000-08-11,Club7,Club6,2,0,H,10.0,19.0,3.0,8.0,2.52,3.26,2.81,1.77,2.01,2000/2001,first,3,0,1.0,3.0,0.0,0.0,3.0,3.0,1.3076923076923077,1.0,0.8076923076923077,1.5,0.37637159153914007,0.28761537543966603,0.3360130330216411,0.466270343199258,0.533729656800742,1.3,1.225
27,Example2,2000-08-11,Club9,Club4,3,0,H,25.0,13.0,16.0,9.0,1.3,5.02,10.69,2.6,1.45,2000/2001,first,3,0,0.0,0.0,3.0,6.0,0.0,0.0,1.3333333333333333,0.9629629629629629,2.083333333333333,0.2129629629629629,0.7423101013142024,0.18056256713173086,0.07712733155445961,0.6525198938992042,0.3474801061007957,2.5250000000000004,0.8250000000000001
28,Example3,2000-08-11,Squad11,Squad2,1,2,A,6.0,3.0,1.0,2.0,3.98,3.33,1.9,1.83,1.93,2000/2001,first,0,3,1.0,2.0,4.0,0.0,0.0,3.0,1.3928571428571428,0.9285714285714286,0.1428571428571428,2.178571428571429,0.22736865976881482,0.2754234003355452,0.4972079398952416,0.48584331379710644,0.5141566862028937,1.025,1.5750000000000002
29,Example3,2000-08-11,Squad13,Squad15,0,0,D,13.0,14.0,9.0,7.0,2.22,3.22,3.18,1.7,2.06,2000/2001,first,1,1,0.0,0.0,2.0,1.0,0.0,0.0,1.3793103448275863,0.9655172413793104,1.1293103448275863,1.2155172413793105,0.4236032786527567,0.28628222606019227,0.2901144952874594,0.44860079954311827,0.5513992004568818,1.375,1.1
30,Example3,2000-08-11,Squad14,Squad1,6,0,H,19.0,5.0,9.0,0.0,1.69,3.79,4.76,2.26,1.62,2000/2001,first,3,0,0.0,1.0,0.0,0.0,0.0,3.0,1.3333333333333333,0.9333333333333333,1.0833333333333333,1.1833333333333333,0.566063318875993,0.2433813061509506,0.19055537497262132,0.5874030372555445,0.4125969627444555,1.95,1.075
31,Example3,2000-08-11,Squad3,Squad10,3,1,H,,,,,2.34,3.42,2.85,2.45,1.51,2000/2001,first,3,0,3.0,4.0,2.0,0.0,3.0,3.0,1.4838709677419355,0.9032258064516129,0.7338709677419355,1.653225806451613,0.4025909703303118,0.26998102073511904,0.3274280089349835,0.6270441951615083,0.37295580483849156,1.7000000000000002,1.525
32,Example3,2000-08-11,Squad5,Squad8,1,3,A,,,,,2.16,3.02,3.4,1.47,2.56,2000/2001,first,0,3,0.0,1.0,4.0,1.0,0.0,1.0,1.53125,0.90625,0.53125,1.90625,0.43141865749916897,0.302382830034223,0.2661985124670264,0.35517644557823136,0.6448235544217686,1.225,0.9
33,Example3,2000-08-11,Squad7,Squad6,0,3,A,,,,,2.64,3.1,2.64,1.82,1.94,2000/2001,first,0,3,1.0,1.0,1.0,1.0,1.0,1.0,1.5151515151515151,0.9696969696969697,1.5151515151515151,0.9696969696969697,0.35169914748570574,0.2966017050281395,0.35169914748570574,0.48300668403761193,0.5169933159623881,1.3,1.3
34,Example3,2000-08-11,Squad9,Squad4,3,0,H,,,,,1.76,3.43,4.37,1.87,1.87,2000/2001,first,3,0,1.0,4.0,1.0,1.0,1.0,3.0,1.4705882352941178,1.0294117647058822,0.7205882352941178,1.7794117647058822,0.5342825740223185,0.26347649840791815,0.2022409275701376,0.5,0.5,1.675,0.975
35,Example1,2000-08-11,Team11,Team2,0,0,D,,,,,2.27,3.01,3.3,1.51,2.42,2000/2001,first,1,1,0.0,2.0,1.0,1.0,0.0,3.0,1.5142857142857142,1.0,1.0142857142857142,1.5,0.4137543473044361,0.3074432785572428,0.2788023741387627,0.3754857424333644,0.6245142575666357,1.225,0.95
36,Example1,2000-08-11,Team13,Team15,1,2,A,,,,,1.77,2.95,5.0,1.67,2.06,2000/2001,first,0,3,1.0,1.0,2.0,0.0,0.0,3.0,1.4722222222222223,0.9722222222222222,0.9722222222222223,1.4722222222222223,0.525375102677935,0.30486251772016,0.1697623796022628,0.4433172489971513,0.5566827510028488,1.5750000000000002,0.8500000000000001
37,Example1,2000-08-11,Team14,Team1,2,3,A,20.0,14.0,6.0,10.0,3.42,3.02,2.21,1.53,2.39,2000/2001,first,0,3,0.0,0.0,0.0,1.0,0.0,0.0,1.4594594594594594,1.0,1.7094594594594594,0.75,0.26829878133700347,0.3062860809351049,0.4254151377274711,0.3824076352995871,0.617592364700413,0.95,1.25
38,Example1,2000-08-11,Team3,Team10,2,0,H,,,,,1.38,4.15,7.49,2.01,1.72,2000/2001,first,3,0,3.0,3.0,1.0,1.0,3.0,3.0,1.4736842105263157,1.0526315789473684,1.4736842105263157,1.0526315789473684,0.6831005868379365,0.21045274922150872,0.10644666394021114,0.541941455513132,0.45805854448686806,2.1,0.75
39,Example1,2000-08-11,Team5,Team8,4,0,H,,,,,1.51,3.87,6.3,1.93,1.86,2000/2001,first,3,0,1.0,0.0,3.0,1.0,0.0,0.0,1.4871794871794872,1.0256410256410255,1.2371794871794872,1.2756410256410255,0.6299948552668192,0.23369745899298539,0.13630768574053978,0.5097498467881219,0.4902501532118781,1.9,0.8
40,Example1,2000-08-11,Team7,Team6,0,1,A,29.0,9.0,5.0,2.0,1.34,4.48,9.35,2.17,1.63,2000/2001,first,0,3,1.0,0.0,0.0,0.0,3.0,1.0,1.55,1.0,1.8,0.75,0.7136227374714157,0.19984405872870944,0.08653320379956532,0.5763337197138899,0.42366628028611014,2.25,0.7250000000000001
41,Example1,2000-08-11,Team9,Team4,1,0,H,,,,,1.65,3.48,4.81,2.11,1.66,2000/2001,first,3,0,0.0,1.0,0.0,0.0,1.0,3.0,1.5121951219512195,1.0,1.2621951219512195,1.25,0.5664917262732909,0.2553750555188206,0.1781332182075071,0.5642379946325589,0.43576200536744136,1.9,1.025
42,Example2,2000-08-21,Club13,Club1,1,1,D,,,,,2.34,2.69,3.2,1.47,2.41,2000/2001,first,1,1,2.0,2.5,1.0,0.0,1.5,3.0,1.5,0.9761904761904762,1.125,1.3511904761904763,0.3886151164476399,0.3344953247061661,0.2768895588466074,0.367332825246281,0.6326671747537189,1.175,0.95
43,Example2,2000-08-21,Club14,Club12,5,0,H,,,,,1.27,4.84,9.43,2.05,1.68,2000/2001,first,3,0,0.0,0.0,2.0,2.0,0.0,0.0,1.4883720930232558,0.9767441860465116,1.4883720930232558,0.9767441860465116,0.7439887269349753,0.1763826795178203,0.07962859354744707,0.5537166085946573,0.44628339140534257,2.275,0.625
44,Example2,2000-08-21,Club15,Club11,1,1,D,10.0,13.0,5.0,5.0,1.58,4.16,5.25,2.15,1.69,2000/2001,first,1,1,0.5,3.0,3.5,0.0,0.0,2.0,1.5681818181818181,0.9545454545454546,0.06818181818181812,2.4545454545454546,0.6073488298125467,0.220843656837774,0.1718075133501071,0.5632998486307969,0.4367001513692032,1.975,0.95
45,Example2,2000-08-21,Club2,Club9,2,1,H,17.0,11.0,6.0,6.0,1.89,3.38,4.08,1.82,1.97,2000/2001,first,3,0,0.5,1.5,0.0,1.5,2.0,1.5,1.5555555555555556,0.9555555555555556,1.6805555555555556,0.8305555555555556,0.5028143234524687,0.2735124364756183,0.22367324007234882,0.47908183187371,0.5209181681262899,1.5750000000000002,1.0
46,Example2,2000-08-21,Club4,Club7,2,2,D,,,,,1.78,3.37,4.62,1.63,2.21,2000/2001,first,1,1,0.0,1.5,4.5,0.0,0.0,3.0,1.565217391304348,0.9565217391304348,0.0652173913043479,2.4565217391304346,0.5331045001935104,0.27279595587187155,0.19409954393502885,0.419495877633734,0.5805041223662661,1.525,0.8250000000000001
47,Example2,2000-08-21,Club6,Club5,4,2,H,,,,,2.37,3.02,3.05,1.72,2.07,2000/2001,first,3,0,1.5,0.5,1.0,0.0,1.5,2.0,1.574468085106383,0.9787234042553191,1.574468085106383,0.9787234042553191,0.3937478932108656,0.3047217082973843,0.3015303984913291,0.4508482193012021,0.5491517806987979,1.3250000000000002,1.125
48,Example2,2000-08-21,Club8,Club3,1,2,A,,,,,2.28,2.95,3.02,1.8,1.95,2000/2001,first,0,3,0.0,1.0,1.0,0.5,0.0,1.5,1.625,1.0,1.25,1.375,0.4005515278144764,0.3035463816132136,0.2959020905727147,0.4786324786324786,0.5213675213675213,1.375,1.175
49,Example3,2000-08-21,Squad13,Squad1,3,3,D,,,,,2.34,3.27,2.73,2.16,1.62,2000/2001,first,1,1,0.0,0.5,1.0,3.0,0.5,1.5,1.6122448979591837,1.0204081632653061,1.9872448979591837,0.6454081632653061,0.39272598606195236,0.27414072725071303,0.3331332866869248,0.5771604938271606,0.4228395061728395,1.55,1.425
50,Example3,2000-08-21,Squad14,Squad12,1,1,D,11.0,16.0,3.0,6.0,3.16,3.0,2.38,1.54,2.39,2000/2001,first,1,1,6.0,2.0,0.0,3.0,3.0,0.0,1.64,1.06,3.3899999999999997,-0.69,0.29382676361283055,0.3104099119472974,0.39576332443944323,0.38452969624517735,0.6154703037548227,1.0,1.2000000000000002
51,Example3,2000-08-21,Squad15,Squad11,2,2,D,22.0,8.0,7.0,4.0,1.38,4.18,7.85,1.91,1.83,2000/2001,first,1,1,0.0,1.0,0.5,3.0,0.5,0.0,1.6274509803921569,1.0588235294117647,2.002450980392157,0.6838235294117647,0.6863026843442361,0.21112845790603876,0.10256885775004228,0.511443939003805,0.4885560609961949,2.025,0.675
52,Example3,2000-08-21,Squad2,Squad9,2,1,H,,,,,2.14,3.36,3.28,1.99,1.79,2000/2001,first,3,0,2.0,2.0,0.5,0.5,3.0,2.0,1.6346153846153846,1.0769230769230769,1.6346153846153846,1.0769230769230769,0.44214622306144924,0.2753614274518251,0.282492349487138,0.5280733275315123,0.4719266724684876,1.55,1.225
53,Example3,2000-08-21,Squad4,Squad7,0,2,A,,,,,2.1,3.34,3.36,1.84,1.93,2000/2001,first,0,3,2.0,0.5,2.0,2.0,1.5,0.5,1.6415094339622642,1.0754716981132075,2.0165094339622645,0.7004716981132075,0.449678748299014,0.27603515780463844,0.27428609389675995,0.4873282270781708,0.5126717729218292,1.5,1.125
54,Example3,2000-08-21,Squad6,Squad5,0,4,A,5.0,16.0,1.0,7.0,1.96,3.51,3.73,2.14,1.7,2000/2001,first,0,3,2.0,0.5,0.5,3.5,2.0,0.0,1.6111111111111112,1.0925925925925926,2.736111111111111,-0.03240740740740744,0.48673876540922034,0.2648963544025801,0.24836488018775676,0.5604727872457395,0.4395272127542606,1.725,1.2000000000000002
55,Example3,2000-08-21,Squad8,Squad3,1,0,H,10.0,10.0,6.0,5.0,1.96,3.17,4.0,1.63,2.2,2000/2001,first,3,0,2.0,3.0,1.0,1.5,2.0,3.0,1.5818181818181818,1.1454545454545455,1.4568181818181818,1.2704545454545455,0.4821973346895326,0.2909930037631407,0.22680966154690174,0.4205242610150585,0.5794757389849414,1.425,0.925
56,Example1,2000-08-21,Team13,Team1,1,4,A,,,,,1.39,4.03,7.32,1.84,1.88,2000/2001,first,0,3,1.0,1.5,2.0,1.5,0.0,1.5,1.5714285714285714,1.125,1.3214285714285714,1.375,0.6759505592725255,0.21591545516680627,0.10813398556035456,0.49421831637372804,0.505781683626272,1.975,0.675
57,Example1,2000-08-21,Team14,Team12,1,0,H,,,,,2.28,2.95,3.21,1.54,2.38,2000/2001,first,3,0,2.0,1.0,3.0,3.0,0.0,0.0,1.5614035087719298,1.1754385964912282,1.8114035087719298,0.9254385964912282,0.407260549412357,0.30979201317728033,0.28294743740995953,0.3854087089381207,0.6145912910618792,1.225,0.975
58,Example1,2000-08-21,Team15,Team11,0,1,A,12.0,17.0,3.0,3.0,2.06,3.39,3.71,1.75,2.09,2000/2001,first,0,3,1.5,0.0,0.5,0.5,3.0,0.5,1.5517241379310345,1.1551724137931034,1.9267241379310345,0.7801724137931034,0.4671236301468452,0.2789985909666365,0.25387777888604907,0.4535201640464799,0.5464798359535201,1.4500000000000002,1.025
59,Example1,2000-08-21,Team2,Team9,1,1,D,16.0,11.0,6.0,5.0,1.7,3.53,5.07,1.69,2.1,2000/2001,first,1,1,1.0,0.5,0.5,0.0,2.0,2.0,1.5254237288135593,1.152542372881356,1.5254237288135593,1.152542372881356,0.5614419410031999,0.2615113006916008,0.1770467583048071,0.4422372499295576,0.5577627500704424,1.625,0.8250000000000001
60,Example1,2000-08-21,Team4,Team7,1,0,H,16.0,3.0,7.0,1.0,1.37,4.65,9.03,2.18,1.67,2000/2001,first,3,0,0.5,0.5,0.5,0.5,1.5,1.5,1.5166666666666666,1.15,1.5166666666666666,1.15,0.7062165149375222,0.19815581138480365,0.09562767367808864,0.5700433994396529,0.4299566005603472,2.225,0.75
61,Example1,2000-08-21,Team6,Team5,2,1,H,,,,,2.3,3.2,2.74,1.81,1.9,2000/2001,first,3,0,0.5,2.5,0.0,1.5,2.0,1.5,1.5081967213114753,1.1311475409836065,1.3831967213114753,1.2561475409836065,0.3956297887034226,0.2766862294830547,0.32768398181313,0.48691480081419014,0.51308519918581,1.375,1.225
62,Example1,2000-08-21,Team8,Team3,4,1,H,,,,,3.82,3.16,2.02,1.65,2.17,2000/2001,first,3,0,0.0,2.5,2.5,0.5,0.0,3.0,1.5161290322580645,1.1290322580645162,0.3911290322580645,2.254032258064516,0.23908664934623253,0.29273839872950524,0.46817495192470115,0.4273844435134757,0.5726155564865242,0.95,1.425
63,Example2,2000-08-31,Club1,Club12,0,3,A,12.0,15.0,2.0,5.0,4.43,3.14,1.83,1.94,1.8,2000/2001,first,0,3,2.0,0.0,0.3333333333333333,3.5,2.3333333333333335,0.0,1.5555555555555556,1.126984126984127,2.8472222222222223,-0.16468253968253976,0.19862391124601658,0.2891494422052958,0.5122266465490637,0.520045819014891,0.4799541809851088,1.025,1.7000000000000002
64,Example2,2000-08-31,Club10,Club14,0,0,D,,,,,3.18,3.26,2.19,1.81,1.95,2000/2001,first,1,1,0.5,2.5,0.0,1.0,2.0,1.5,1.53125,1.15625,1.28125,1.40625,0.28936553564534506,0.2817998995769377,0.42883456477816234,0.4801671624876045,0.5198328375123955,1.15,1.425
65,Example2,2000-08-31,Club11,Club13,4,0,H,20.0,4.0,12.0,0.0,1.65,3.58,5.11,2.34,1.55,2000/2001,first,3,0,2.3333333333333335,1.6666666666666667,0.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,1.5076923076923077,1.1384615384615384,1.841025641025641,0.8051282051282052,0.5742225600295134,0.2537815674718746,0.17199587249824339,0.6089054314860766,0.3910945685139233,2.025,1.1
66,Example2,2000-08-31,Club3,Club6,0,0,D,,,,,2.13,3.15,3.1,1.71,2.0,2000/2001,first,1,1,1.3333333333333333,2.3333333333333335,0.6666666666666666,1.3333333333333333,2.0,2.0,1.5454545454545454,1.121212121212121,1.462121212121212,1.2045454545454546,0.43035238273646226,0.2823344379058822,0.28731317935725686,0.45760233918128657,0.5423976608187135,1.4,1.1
67,Example2,2000-08-31,Club5,Club4,1,3,A,15.0,9.0,7.0,4.0,1.57,3.33,6.1,1.58,2.17,2000/2001,first,0,3,1.0,0.6666666666666666,1.3333333333333333,3.6666666666666665,1.3333333333333333,0.3333333333333333,1.5223880597014925,1.1044776119402986,2.189054726368159,0.43781094527363185,0.5966444965255271,0.26788119017592354,0.13547431329891943,0.41395905034124714,0.5860409496587529,1.625,0.7000000000000001
68,Example2,2000-08-31,Club7,Club2,1,1,D,7.0,17.0,3.0,2.0,2.39,3.25,3.08,1.78,2.02,2000/2001,first,1,1,1.6666666666666667,1.0,0.6666666666666666,0.3333333333333333,2.3333333333333335,2.3333333333333335,1.5147058823529411,1.1323529411764706,1.5980392156862744,1.0490196078431373,0.40063360596934133,0.2912994337421241,0.30806696028806546,0.4666258760707531,0.5333741239292469,1.35,1.175
69,Example2,2000-08-31,Club9,Club15,3,0,H,17.0,10.0,10.0,3.0,2.24,3.27,3.32,1.78,2.03,2000/2001,first,3,0,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.6666666666666665,1.0,0.3333333333333333,1.5072463768115942,1.1304347826086956,1.9239130434782608,0.7137681159420289,0.42736552735493977,0.2885890892529722,0.2840453833916223,0.4654065423147174,0.5345934576852825,1.4,1.125
70,Example3,2000-08-31,Squad1,Squad12,2,0,H,22.0,4.0,13.0,1.0,1.19,6.17,13.68,2.33,1.54,2000/2001,first,3,0,1.3333333333333333,1.5,3.0,2.0,1.3333333333333333,0.5,1.5285714285714285,1.1142857142857143,1.2369047619047617,1.405952380952381,0.8063765398435919,0.13978234240975873,0.053841117746421634,0.6100830499972131,0.389916950002787,2.575,0.5750000000000001
71,Example3,2000-08-31,Squad10,Squad14,0,1,A,6.0,5.0,3.0,1.0,2.78,3.4,2.43,1.99,1.82,2000/2001,first,0,3,2.5,3.5,1.5,0.5,1.5,2.0,1.5352112676056338,1.0985915492957747,1.0352112676056338,1.5985915492957747,0.33784650616699957,0.2733201275184166,0.3888333663141377,0.5234689933182397,0.4765310066817605,1.3250000000000002,1.425
72,Example3,2000-08-31,Squad11,Squad13,2,2,D,,,,,2.33,2.7,3.25,1.62,2.12,2000/2001,first,1,1,1.3333333333333333,1.0,2.6666666666666665,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.5138888888888888,1.0972222222222223,1.3472222222222223,1.2638888888888888,0.39187223442488434,0.3345670807964108,0.2735606847782681,0.4272070812951316,0.5727929187048684,1.275,1.05
73,Example3,2000-08-31,Squad3,Squad6,1,0,H,,,,,1.68,3.46,4.41,1.93,1.79,2000/2001,first,3,0,2.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,2.0,1.3333333333333333,1.5205479452054795,1.1095890410958904,1.7705479452054795,0.8595890410958904,0.552282368950188,0.254045734434462,0.19367189661571246,0.5202622514255941,0.4797377485744059,1.775,0.975
