,league,date,teamHome,teamAway,goalsHome,goalsAway,result,shotsHome,shotsAway,shotsTargetHome,shotsTargetAway,oddsHome,oddsDraw,oddsAway,oddsUnder25,oddsOver25,season,round,pointsHome,pointsAway,avgGoalsHome,avgGoalsAway,avgGoalsAgainstHome,avgGoalsAgainstAway,avgPointsHome,avgPointsAway,avgGoalsHomeAllTeams,avgGoalsAwayAllTeams,anticipatedGoalsHomeAverage,anticipatedGoalsAwayAverage
57,Example1,2000-08-21,Team14,Team12,1,0,H,,,,,2.28,2.95,3.21,1.54,2.38,2000/2001,first,3,0,2.0,1.0,3.0,3.0,0.0,0.0,1.5614035087719298,1.1754385964912282,1.8114035087719298,0.9254385964912282
58,Example1,2000-08-21,Team15,Team11,0,1,A,12.0,17.0,3.0,3.0,2.06,3.39,3.71,1.75,2.09,2000/2001,first,0,3,1.5,0.0,0.5,0.5,3.0,0.5,1.5517241379310345,1.1551724137931034,1.9267241379310345,0.7801724137931034
59,Example1,2000-08-21,Team2,Team9,1,1,D,16.0,11.0,6.0,5.0,1.7,3.53,5.07,1.69,2.1,2000/2001,first,1,1,1.0,0.5,0.5,0.0,2.0,2.0,1.5254237288135593,1.152542372881356,1.5254237288135593,1.152542372881356
60,Example1,2000-08-21,Team4,Team7,1,0,H,16.0,3.0,7.0,1.0,1.37,4.65,9.03,2.18,1.67,2000/2001,first,3,0,0.5,0.5,0.5,0.5,1.5,1.5,1.5166666666666666,1.15,1.5166666666666666,1.15
61,Example1,2000-08-21,Team6,Team5,2,1,H,,,,,2.3,3.2,2.74,1.81,1.9,2000/2001,first,3,0,0.5,2.5,0.0,1.5,2.0,1.5,1.5081967213114753,1.1311475409836065,1.3831967213114753,1.2561475409836065
62,Example1,2000-08-21,Team8,Team3,4,1,H,,,,,3.82,3.16,2.02,1.65,2.17,2000/2001,first,3,0,0.0,2.5,2.5,0.5,0.0,3.0,1.5161290322580645,1.1290322580645162,0.3911290322580645,2.254032258064516
63,Example2,2000-08-31,Club1,Club12,0,3,A,12.0,15.0,2.0,5.0,4.43,3.14,1.83,1.94,1.8,2000/2001,first,0,3,2.0,0.0,0.3333333333333333,3.5,2.3333333333333335,0.0,1.5555555555555556,1.126984126984127,2.8472222222222223,-0.16468253968253976
64,Example2,2000-08-31,Club10,Club14,0,0,D,,,,,3.18,3.26,2.19,1.81,1.95,2000/2001,first,1,1,0.5,2.5,0.0,1.0,2.0,1.5,1.53125,1.15625,1.28125,1.40625
65,Example2,2000-08-31,Club11,Club13,4,0,H,20.0,4.0,12.0,0.0,1.65,3.58,5.11,2.34,1.55,2000/2001,first,3,0,2.3333333333333335,1.6666666666666667,0.3333333333333333,1.0,1.6666666666666667,1.3333333333333333,1.5076923076923077,1.1384615384615384,1.841025641025641,0.8051282051282052
66,Example2,2000-08-31,Club3,Club6,0,0,D,,,,,2.13,3.15,3.1,1.71,2.0,2000/2001,first,1,1,1.3333333333333333,2.3333333333333335,0.6666666666666666,1.3333333333333333,2.0,2.0,1.5454545454545454,1.121212121212121,1.462121212121212,1.2045454545454546
67,Example2,2000-08-31,Club5,Club4,1,3,A,15.0,9.0,7.0,4.0,1.57,3.33,6.1,1.58,2.17,2000/2001,first,0,3,1.0,0.6666666666666666,1.3333333333333333,3.6666666666666665,1.3333333333333333,0.3333333333333333,1.5223880597014925,1.1044776119402986,2.189054726368159,0.43781094527363185
68,Example2,2000-08-31,Club7,Club2,1,1,D,7.0,17.0,3.0,2.0,2.39,3.25,3.08,1.78,2.02,2000/2001,first,1,1,1.6666666666666667,1.0,0.6666666666666666,0.3333333333333333,2.3333333333333335,2.3333333333333335,1.5147058823529411,1.1323529411764706,1.5980392156862744,1.0490196078431373
69,Example2,2000-08-31,Club9,Club15,3,0,H,17.0,10.0,10.0,3.0,2.24,3.27,3.32,1.78,2.03,2000/2001,first,3,0,1.3333333333333333,0.6666666666666666,1.6666666666666667,2.6666666666666665,1.0,0.3333333333333333,1.5072463768115942,1.1304347826086956,1.9239130434782608,0.7137681159420289
70,Example3,2000-08-31,Squad1,Squad12,2,0,H,22.0,4.0,13.0,1.0,1.19,6.17,13.68,2.33,1.54,2000/2001,first,3,0,1.3333333333333333,1.5,3.0,2.0,1.3333333333333333,0.5,1.5285714285714285,1.1142857142857143,1.2369047619047617,1.405952380952381
71,Example3,2000-08-31,Squad10,Squad14,0,1,A,6.0,5.0,3.0,1.0,2.78,3.4,2.43,1.99,1.82,2000/2001,first,0,3,2.5,3.5,1.5,0.5,1.5,2.0,1.5352112676056338,1.0985915492957747,1.0352112676056338,1.5985915492957747
72,Example3,2000-08-31,Squad11,Squad13,2,2,D,,,,,2.33,2.7,3.25,1.62,2.12,2000/2001,first,1,1,1.3333333333333333,1.0,2.6666666666666665,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.5138888888888888,1.0972222222222223,1.3472222222222223,1.2638888888888888
73,Example3,2000-08-31,Squad3,Squad6,1,0,H,,,,,1.68,3.46,4.41,1.93,1.79,2000/2001,first,3,0,2.0,1.3333333333333333,1.3333333333333333,1.6666666666666667,2.0,1.3333333333333333,1.5205479452054795,1.1095890410958904,1.7705479452054795,0.8595890410958904
74,Example3,2000-08-31,Squad5,Squad4,1,2,A,17.0,14.0,5.0,10.0,4.37,3.68,1.81,2.12,1.72,2000/2001,first,0,3,1.6666666666666667,1.3333333333333333,2.3333333333333335,2.0,1.0,1.0,1.5135135135135136,1.0945945945945945,1.5135135135135136,1.0945945945945945
75,Example3,2000-08-31,Squad7,Squad2,0,0,D,5.0,7.0,2.0,3.0,3.91,3.81,1.88,2.25,1.64,2000/2001,first,1,1,1.0,2.0,1.3333333333333333,0.6666666666666666,1.3333333333333333,3.0,1.5066666666666666,1.1066666666666667,1.0899999999999999,1.5233333333333334
76,Example3,2000-08-31,Squad9,Squad15,2,0,H,,,,,1.58,3.94,5.37,2.07,1.73,2000/2001,first,3,0,1.6666666666666667,0.6666666666666666,1.0,1.0,1.3333333333333333,0.6666666666666666,1.486842105263158,1.0921052631578947,1.736842105263158,0.8421052631578947
77,Example1,2000-08-31,Team1,Team12,0,1,A,,,,,4.46,3.13,1.87,1.46,2.6,2000/2001,first,0,3,2.3333333333333335,0.5,1.3333333333333333,2.0,2.0,0.0,1.4935064935064934,1.077922077922078,2.1185064935064934,0.45292207792207795
78,Example1,2000-08-31,Team10,Team14,5,0,H,14.0,14.0,8.0,5.0,2.16,3.3,3.31,1.71,2.08,2000/2001,first,3,0,1.5,1.5,1.5,1.5,1.5,1.5,1.4743589743589745,1.0769230769230769,1.4743589743589745,1.0769230769230769
79,Example1,2000-08-31,Team11,Team13,2,0,H,,,,,2.64,2.8,2.65,1.96,1.87,2000/2001,first,3,0,0.3333333333333333,1.0,0.3333333333333333,2.6666666666666665,1.3333333333333333,0.0,1.518987341772152,1.0632911392405062,1.9356540084388185,0.6466244725738396
80,Example1,2000-08-31,Team3,Team6,2,2,D,23.0,15.0,7.0,8.0,1.77,3.68,4.74,1.9,1.89,2000/2001,first,1,1,2.0,1.0,1.6666666666666667,0.3333333333333333,2.0,2.3333333333333335,1.5250000000000001,1.0499999999999998,1.4416666666666669,1.1333333333333333
81,Example1,2000-08-31,Team5,Team4,3,0,H,28.0,16.0,6.0,5.0,1.96,3.32,3.96,1.78,2.01,2000/2001,first,3,0,2.0,0.6666666666666666,1.6666666666666667,0.3333333333333333,1.0,2.0,1.5308641975308643,1.0617283950617282,1.5308641975308643,1.0617283950617282
82,Example1,2000-08-31,Team7,Team2,0,1,A,9.0,13.0,4.0,4.0,3.08,3.46,2.13,2.04,1.72,2000/2001,first,0,3,0.3333333333333333,1.0,0.6666666666666666,0.6666666666666666,1.0,1.6666666666666667,1.5487804878048783,1.0487804878048779,1.3821138211382116,1.2154471544715446
83,Example1,2000-08-31,Team9,Team15,3,1,H,,,,,1.39,4.22,6.8,1.91,1.84,2000/2001,first,3,0,0.6666666666666666,1.0,0.3333333333333333,0.6666666666666666,1.6666666666666667,2.0,1.5301204819277112,1.0481927710843373,1.5301204819277112,1.0481927710843373
84,Example2,2000-09-10,Club11,Club1,4,2,H,,,,,2.23,3.22,2.91,1.86,1.86,2000/2001,first,3,0,2.75,1.5,0.25,1.0,2.0,1.75,1.547619047619048,1.0476190476190477,2.047619047619048,0.5476190476190477
85,Example2,2000-09-10,Club12,Club10,0,4,A,,,,,3.08,3.21,2.18,1.72,2.03,2000/2001,first,0,3,1.0,0.3333333333333333,2.3333333333333335,0.0,1.0,1.6666666666666667,1.5764705882352945,1.0588235294117647,1.1598039215686278,1.4754901960784315
86,Example2,2000-09-10,Club13,Club9,4,1,H,16.0,14.0,7.0,6.0,1.62,3.58,5.37,1.83,1.9,2000/2001,first,3,0,1.25,1.75,1.75,1.25,1.0,1.5,1.5581395348837213,1.0930232558139534,1.3081395348837213,1.3430232558139534
87,Example2,2000-09-10,Club14,Club8,0,5,A,,,,,6.81,4.29,1.4,2.34,1.54,2000/2001,first,0,3,1.6666666666666667,0.3333333333333333,0.6666666666666666,1.3333333333333333,1.3333333333333333,0.0,1.5862068965517244,1.0919540229885059,2.086206896551724,0.5919540229885059
88,Example2,2000-09-10,Club15,Club7,1,0,H,8.0,3.0,4.0,1.0,1.33,5.25,9.21,2.56,1.5,2000/2001,first,3,0,0.5,1.5,2.75,0.75,0.25,2.0,1.5681818181818186,1.1363636363636365,0.8181818181818186,1.8863636363636365
89,Example2,2000-09-10,Club2,Club5,1,1,D,18.0,10.0,5.0,2.0,2.38,3.19,3.1,1.64,2.24,2000/2001,first,1,1,1.0,1.0,0.5,1.75,2.0,1.0,1.561797752808989,1.1235955056179776,1.874297752808989,0.8110955056179776
90,Example2,2000-09-10,Club4,Club3,0,4,A,13.0,18.0,7.0,7.0,2.44,3.59,2.79,2.58,1.49,2000/2001,first,0,3,1.25,1.0,3.0,0.5,1.0,1.75,1.5555555555555558,1.1222222222222222,0.9930555555555558,1.6847222222222222
91,Example3,2000-09-10,Squad11,Squad1,1,1,D,9.0,5.0,4.0,1.0,2.09,3.21,3.08,1.68,2.04,2000/2001,first,1,1,1.5,1.5,2.5,2.25,0.5,1.75,1.5384615384615388,1.1538461538461537,1.4759615384615388,1.2163461538461537
92,Example3,2000-09-10,Squad12,Squad10,1,2,A,,,,,1.93,3.32,3.74,2.0,1.79,2000/2001,first,0,3,1.0,1.6666666666666667,2.0,1.3333333333333333,0.3333333333333333,1.0,1.5326086956521743,1.152173913043478,1.1992753623188408,1.4855072463768115
93,Example3,2000-09-10,Squad13,Squad9,2,5,A,15.0,11.0,11.0,8.0,1.92,2.97,4.06,1.51,2.34,2000/2001,first,0,3,1.25,1.75,1.75,0.75,0.75,1.75,1.5268817204301077,1.161290322580645,1.1518817204301077,1.536290322580645
94,Example3,2000-09-10,Squad14,Squad8,5,2,H,12.0,12.0,7.0,3.0,1.44,5.17,6.49,3.21,1.35,2000/2001,first,3,0,2.6666666666666665,1.6666666666666667,0.3333333333333333,0.6666666666666666,2.3333333333333335,2.3333333333333335,1.5319148936170215,1.2021276595744679,1.8652482269503547,0.8687943262411346
95,Example3,2000-09-10,Squad15,Squad7,2,2,D,,,,,2.48,3.33,2.52,1.71,2.02,2000/2001,first,1,1,0.5,0.75,1.25,1.0,0.5,1.25,1.5684210526315792,1.2105263157894735,1.4434210526315792,1.3355263157894735
96,Example3,2000-09-10,Squad2,Squad5,2,0,H,14.0,15.0,5.0,2.0,1.37,4.69,8.01,2.2,1.65,2000/2001,first,3,0,1.5,1.5,0.5,2.25,2.5,0.75,1.572916666666667,1.2187499999999998,2.010416666666667,0.7812499999999998
97,Example3,2000-09-10,Squad4,Squad3,1,0,H,,,,,1.63,3.53,4.86,2.27,1.55,2000/2001,first,3,0,1.5,1.75,1.75,1.0,1.5,2.25,1.5773195876288664,1.206185567010309,1.3273195876288664,1.456185567010309
98,Example1,2000-09-10,Team11,Team1,1,2,A,12.0,6.0,3.0,5.0,2.69,3.27,2.75,1.75,2.11,2000/2001,first,0,3,0.75,1.75,0.25,1.25,1.75,1.5,1.5714285714285716,1.1938775510204078,1.5714285714285716,1.1938775510204078
99,Example1,2000-09-10,Team12,Team10,1,1,D,8.0,7.0,3.0,2.0,2.0,3.34,3.69,1.86,1.91,2000/2001,first,1,1,0.6666666666666666,2.6666666666666665,1.3333333333333333,1.0,1.0,2.0,1.565656565656566,1.2020202020202018,0.9823232323232327,1.785353535353535
100,Example1,2000-09-10,Team13,Team9,2,0,H,9.0,8.0,5.0,3.0,1.82,3.27,3.94,1.68,2.06,2000/2001,first,3,0,0.75,1.25,2.5,0.5,0.0,2.0,1.5600000000000003,1.1999999999999997,0.9350000000000003,1.8249999999999997
101,Example1,2000-09-10,Team14,Team8,1,0,H,8.0,13.0,2.0,4.0,2.09,3.22,3.89,1.55,2.43,2000/2001,first,3,0,1.0,1.3333333333333333,2.6666666666666665,2.0,1.0,1.0,1.5643564356435646,1.1881188118811878,1.3143564356435646,1.4381188118811878
102,Example1,2000-09-10,Team15,Team7,0,1,A,,,,,3.21,3.04,2.25,1.45,2.61,2000/2001,first,0,3,1.0,0.25,1.25,0.75,1.5,0.75,1.558823529411765,1.176470588235294,1.621323529411765,1.113970588235294
