,league,date,team,result,goals,shots,shotsOpponent,shotsTarget,shotsTargetOpponent,season,odds,oddsDraw,oddsOpponent,prob,probDraw,anticipatedGoals,home,fav
29,Example1,10/09/00,Team12,,1,8.0,7.0,3.0,2.0,2000/2001,2.0,3.34,3.69,0.4740813349321022,0.276902894406088,1.55,1,fav
30,Example1,10/09/00,Team11,L,1,12.0,6.0,3.0,5.0,2000/2001,2.69,3.27,2.75,0.35776385833700997,0.2925008765507986,1.25,1,fav
31,Example1,10/09/00,Team13,W,2,9.0,8.0,5.0,3.0,2000/2001,1.82,3.27,3.94,0.5084059669572812,0.2710509077130405,1.525,1,fav
32,Example1,10/09/00,Team15,L,0,,,,,2000/2001,3.21,3.04,2.25,0.28425940848571485,0.3013093492228013,0.925,1,out
33,Example1,10/09/00,Team2,L,0,13.0,13.0,4.0,6.0,2000/2001,4.98,3.7,1.69,0.182267906866675,0.2505714300929658,0.9,1,out
34,Example1,10/09/00,Team4,W,4,,,,,2000/2001,1.99,3.22,3.79,0.47419244218575596,0.2857967208143717,1.525,1,fav
35,Example1,20/09/00,Team6,W,3,,,,,2000/2001,3.37,3.25,2.04,0.26675616941378283,0.27744817396714844,1.15,1,out
36,Example1,20/09/00,Team8,L,0,,,,,2000/2001,6.96,3.79,1.5,0.1230132488313405,0.2406039984962828,0.7250000000000001,1,out
37,Example1,20/09/00,Team1,L,1,,,,,2000/2001,2.42,2.81,2.96,0.37643333930882666,0.3205621177243977,1.225,1,fav
38,Example1,20/09/00,Team9,L,0,,,,,2000/2001,1.92,3.09,3.76,0.4800406622279796,0.28798778027421795,1.375,1,fav
39,Example1,20/09/00,Team7,L,1,,,,,2000/2001,1.79,3.48,4.12,0.5248997719722097,0.2593460449314004,1.7000000000000002,1,fav
40,Example1,20/09/00,Team5,,2,18.0,13.0,5.0,3.0,2000/2001,1.77,3.48,5.03,0.5452408585303271,0.27106195250312093,1.5750000000000002,1,fav
41,Example1,20/09/00,Team3,W,3,16.0,8.0,4.0,3.0,2000/2001,2.88,3.5,2.39,0.3301414634135027,0.26942301699682253,1.4,1,out
42,Example1,30/09/00,Team14,W,1,10.0,7.0,4.0,3.0,2000/2001,2.36,2.97,2.97,0.389986641443489,0.3050066792780582,1.25,1,fav
43,Example1,30/09/00,Team12,W,2,15.0,9.0,5.0,3.0,2000/2001,2.04,2.96,3.76,0.45601233598139096,0.3070712083150386,1.35,1,fav
44,Example1,30/09/00,Team10,W,4,,,,,2000/2001,2.81,3.01,2.59,0.3311771481942817,0.30796467366611047,1.175,1,out
45,Example1,30/09/00,Team9,,1,,,,,2000/2001,2.07,2.99,3.56,0.4475007690820305,0.3023537016768955,1.4,1,fav
46,Example1,30/09/00,Team11,W,3,,,,,2000/2001,2.14,3.27,3.34,0.44118599649780893,0.28255285969842997,1.425,1,fav
47,Example1,30/09/00,Team13,,0,10.0,9.0,5.0,2.0,2000/2001,3.02,3.24,2.25,0.3036668190072125,0.28165779817440245,1.075,1,out
48,Example1,30/09/00,Team15,L,1,14.0,8.0,6.0,4.0,2000/2001,1.47,4.62,6.46,0.658956950058319,0.20089975811194138,2.15,1,fav
49,Example1,10/10/00,Team2,W,1,,,,,2000/2001,1.12,7.22,15.91,0.8495445719295183,0.1107713124172255,2.95,1,fav
50,Example1,10/10/00,Team4,W,4,25.0,28.0,10.0,12.0,2000/2001,1.39,4.25,7.84,0.684886486905632,0.21003302159663423,2.375,1,fav
51,Example1,10/10/00,Team6,W,3,,,,,2000/2001,2.01,3.39,3.51,0.4691166280747359,0.27038439362215794,1.5750000000000002,1,fav
52,Example1,10/10/00,Team1,W,1,,,,,2000/2001,2.2,2.95,3.47,0.42544074402699156,0.31215632585507735,1.275,1,fav
53,Example1,10/10/00,Team7,W,3,,,,,2000/2001,1.97,3.27,3.71,0.47701575944149643,0.27923983804848207,1.425,1,fav
54,Example1,10/10/00,Team5,L,1,16.0,11.0,10.0,5.0,2000/2001,2.71,3.23,2.61,0.3481908805553564,0.28969336858561,1.275,1,out
55,Example1,10/10/00,Team3,,3,10.0,18.0,6.0,8.0,2000/2001,2.78,3.29,2.47,0.33680585644013433,0.28199488019619273,1.275,1,out
56,Example1,20/10/00,Team14,W,2,5.0,4.0,3.0,3.0,2000/2001,1.9,3.2,4.32,0.499983605373807,0.2897799606201424,1.4,1,fav
57,Example1,20/10/00,Team12,W,1,5.0,20.0,2.0,4.0,2000/2001,1.9,3.47,4.04,0.5030372521224146,0.2684858933216729,1.7000000000000002,1,fav
58,Example1,20/10/00,Team10,,2,27.0,11.0,5.0,4.0,2000/2001,2.0,3.19,3.86,0.4733046872183739,0.29004854940888414,1.4500000000000002,1,fav
59,Example1,20/10/00,Team8,W,4,17.0,7.0,8.0,4.0,2000/2001,1.75,3.3,4.38,0.5321510472447,0.27025647732183095,1.65,1,fav
60,Example1,20/10/00,Team7,L,1,5.0,11.0,2.0,5.0,2000/2001,1.78,3.55,5.11,0.5466612627925554,0.2692303886786284,1.6,1,fav
61,Example1,20/10/00,Team9,W,3,,,,,2000/2001,2.12,2.93,3.57,0.4382430828772113,0.31074935829432565,1.3,1,fav
62,Example1,20/10/00,Team11,W,4,15.0,16.0,7.0,6.0,2000/2001,1.69,3.92,4.71,0.5685713315704385,0.23677212210633358,1.9,1,fav
63,Example1,30/10/00,Team13,W,1,,,,,2000/2001,2.29,3.17,3.04,0.4081475590647731,0.2893180985499425,1.35,1,fav
64,Example1,30/10/00,Team15,W,2,12.0,8.0,4.0,3.0,2000/2001,1.75,3.21,4.66,0.5340877328281736,0.2801562932076528,1.7000000000000002,1,fav
65,Example1,30/10/00,Team2,L,0,16.0,7.0,3.0,2.0,2000/2001,1.41,4.43,7.27,0.6788882655925759,0.20367820253946348,2.025,1,fav
66,Example1,30/10/00,Team4,L,1,7.0,14.0,1.0,10.0,2000/2001,1.86,3.34,4.09,0.506964435573945,0.2733854570532273,1.5,1,fav
67,Example1,30/10/00,Team1,W,3,16.0,16.0,6.0,3.0,2000/2001,2.72,3.06,2.64,0.3430565688048094,0.302945022259629,1.125,1,out
68,Example1,30/10/00,Team5,,1,12.0,15.0,5.0,6.0,2000/2001,1.62,3.81,5.82,0.5967308583038823,0.24632837496170193,1.75,1,fav
69,Example1,30/10/00,Team3,W,3,,,,,2000/2001,1.19,6.59,13.62,0.8108019110629052,0.13265040250456256,2.6750000000000003,1,fav
70,Example1,09/11/00,Team14,L,0,12.0,14.0,2.0,4.0,2000/2001,2.22,3.19,3.25,0.4249492254218552,0.2903669217450119,1.4,1,fav
71,Example1,09/11/00,Team12,L,2,19.0,6.0,6.0,6.0,2000/2001,3.33,3.27,2.17,0.2788919241888219,0.2843089528244594,1.125,1,out
72,Example1,09/11/00,Team10,W,3,18.0,11.0,6.0,3.0,2000/2001,1.55,3.76,5.99,0.6137479794295815,0.241541102328762,1.975,1,fav
73,Example1,09/11/00,Team8,,2,14.0,12.0,7.0,9.0,2000/2001,4.37,3.42,1.84,0.20928353453302326,0.27177753820509243,0.95,1,out
74,Example1,09/11/00,Team6,W,2,10.0,12.0,3.0,7.0,2000/2001,2.72,3.37,2.52,0.3470298196193325,0.2771973841484231,1.375,1,out
75,Example1,09/11/00,Team5,W,5,24.0,8.0,11.0,3.0,2000/2001,1.44,4.69,6.36,0.6674784487270692,0.1937246797557172,2.275,1,fav
76,Example1,09/11/00,Team7,,1,,,,,2000/2001,2.3,3.18,2.97,0.40461307410280933,0.2868148128125648,1.35,1,fav
77,Example1,19/11/00,Team9,L,2,25.0,12.0,10.0,5.0,2000/2001,2.81,3.26,2.55,0.3375521411907914,0.2890974212271121,1.25,1,out
78,Example1,19/11/00,Team11,W,1,13.0,15.0,4.0,2.0,2000/2001,6.83,4.08,1.51,0.13127467939401607,0.22847541448595338,0.75,1,out
79,Example1,19/11/00,Team13,,1,6.0,7.0,3.0,6.0,2000/2001,2.36,3.52,2.78,0.4000936287829181,0.26278073412630193,1.5750000000000002,1,fav
80,Example1,19/11/00,Team15,W,2,10.0,10.0,5.0,4.0,2000/2001,2.09,2.95,3.62,0.44465526067657746,0.30829569019032893,1.3250000000000002,1,fav
81,Example1,19/11/00,Team2,L,1,11.0,9.0,5.0,4.0,2000/2001,3.82,3.21,2.08,0.2449530517675661,0.2940168783733705,0.9,1,out
82,Example1,19/11/00,Team1,L,0,,,,,2000/2001,2.01,3.44,3.43,0.46826934241702456,0.26545021281007986,1.55,1,fav
83,Example1,19/11/00,Team3,W,1,9.0,16.0,2.0,4.0,2000/2001,3.73,3.44,2.07,0.2549535906887907,0.2773149632626997,1.0,1,out
84,Example1,29/11/00,Team14,,0,7.0,12.0,4.0,4.0,2000/2001,1.57,3.87,5.24,0.6025218288766745,0.2317023589344939,1.85,1,fav
85,Example1,29/11/00,Team12,W,3,17.0,9.0,7.0,3.0,2000/2001,2.25,3.45,3.22,0.42843070502884584,0.27554936156463167,1.55,1,fav
86,Example1,29/11/00,Team10,L,0,,,,,2000/2001,2.18,3.29,3.31,0.43548070088022256,0.2831629307382566,1.425,1,fav
87,Example1,29/11/00,Team8,,1,,,,,2000/2001,1.49,3.91,6.8,0.6408813495381174,0.23274095087004262,1.925,1,fav
88,Example1,29/11/00,Team6,W,2,11.0,9.0,1.0,0.0,2000/2001,2.28,3.4,3.23,0.42354295476225484,0.2805707730598368,1.5,1,fav
89,Example1,29/11/00,Team4,W,3,11.0,7.0,7.0,5.0,2000/2001,2.08,3.1,3.64,0.4524418578243938,0.2972319167306347,1.35,1,fav
90,Example1,29/11/00,Team3,W,3,15.0,20.0,5.0,5.0,2000/2001,2.57,3.14,2.8,0.3669882651342653,0.2974802384829045,1.35,1,fav
91,Example1,09/12/00,Team5,,0,9.0,3.0,3.0,1.0,2000/2001,2.0,2.87,4.57,0.47520702965086364,0.32608407943318746,1.2000000000000002,1,fav
92,Example1,09/12/00,Team7,W,2,,,,,2000/2001,2.18,3.24,2.91,0.4193538327187501,0.27331097874127974,1.4500000000000002,1,fav
93,Example1,09/12/00,Team9,W,4,15.0,5.0,8.0,1.0,2000/2001,1.61,4.2,5.33,0.6023914391356722,0.22372704502783736,2.075,1,fav
94,Example1,09/12/00,Team11,L,1,11.0,7.0,5.0,2.0,2000/2001,5.96,3.98,1.56,0.15055639257163303,0.2326440247972854,0.8250000000000001,1,out
95,Example1,09/12/00,Team13,W,2,22.0,13.0,7.0,4.0,2000/2001,1.44,4.07,7.4,0.6632301483967213,0.22241913236311106,2.1,1,fav
96,Example1,09/12/00,Team15,W,2,,,,,2000/2001,1.57,3.95,5.35,0.6061029388742594,0.2293625026697554,2.0,1,fav
97,Example1,09/12/00,Team1,W,1,16.0,3.0,5.0,0.0,2000/2001,2.66,3.05,2.72,0.3517910994480942,0.30456594010245486,1.2000000000000002,1,fav
98,Example1,19/12/00,Team14,W,1,10.0,9.0,2.0,1.0,2000/2001,2.46,3.11,3.14,0.39033727919181604,0.3063495729268303,1.175,1,fav
99,Example1,19/12/00,Team12,L,1,,,,,2000/2001,2.69,3.44,2.23,0.334711847289412,0.25591414078240615,1.2000000000000002,1,out
100,Example1,19/12/00,Team10,W,1,,,,,2000/2001,2.23,3.4,2.97,0.4203041896931164,0.26898057643935924,1.525,1,fav
101,Example1,19/12/00,Team8,,2,15.0,12.0,7.0,4.0,2000/2001,1.75,3.48,4.69,0.5436886483534609,0.26451672133713056,1.625,1,fav
102,Example1,19/12/00,Team6,,1,,,,,2000/2001,2.44,3.08,2.76,0.3765180494103721,0.29337018371028845,1.175,1,fav
103,Example1,19/12/00,Team4,L,0,12.0,7.0,8.0,4.0,2000/2001,1.66,3.51,5.07,0.5693142113112195,0.25816371892617607,1.625,1,fav
104,Example1,19/12/00,Team2,L,0,15.0,7.0,4.0,4.0,2000/2001,4.93,4.63,1.57,0.1862842080966265,0.19922759147732086,1.175,1,out
105,Example1,01/02/01,Team15,L,1,,,,,2000/2001,3.77,3.35,1.94,0.24067713235277566,0.2732536518476557,1.1,1,out
106,Example1,01/02/01,Team13,W,4,,,,,2000/2001,2.14,2.82,3.57,0.43081953619192564,0.32087853797952653,1.375,1,fav
107,Example1,01/02/01,Team11,W,3,15.0,6.0,7.0,3.0,2000/2001,1.89,3.46,3.86,0.5001948195061579,0.26457800011918176,1.7000000000000002,1,fav
108,Example1,01/02/01,Team9,L,0,4.0,24.0,2.0,6.0,2000/2001,10.39,4.62,1.32,0.07767606153802221,0.19501320229516456,0.525,1,out
109,Example1,01/02/01,Team7,L,2,12.0,9.0,4.0,5.0,2000/2001,2.34,3.6,2.77,0.40413566849812826,0.2570044980485388,1.5750000000000002,1,fav
110,Example1,01/02/01,Team5,W,8,,,,,2000/2001,1.29,4.58,8.59,0.7279423858315586,0.1849279621325265,2.35,1,fav
111,Example1,01/02/01,Team3,W,3,18.0,12.0,5.0,1.0,2000/2001,1.39,4.69,7.94,0.6946725246388886,0.19553164309082202,2.2,1,fav
112,Example1,11/02/01,Team1,W,1,15.0,16.0,8.0,9.0,2000/2001,2.56,3.25,2.66,0.36527800264558113,0.28386434282612655,1.4,1,fav
113,Example1,11/02/01,Team15,L,1,7.0,10.0,1.0,4.0,2000/2001,1.72,3.54,5.22,0.5598019186770665,0.26488996033607615,1.5750000000000002,1,fav
114,Example1,11/02/01,Team2,L,2,14.0,11.0,6.0,3.0,2000/2001,1.96,3.36,3.94,0.4873113213078149,0.2779041127682409,1.5,1,fav
115,Example1,11/02/01,Team4,W,1,,,,,2000/2001,2.22,3.19,3.38,0.42909966762368773,0.29412843629818536,1.3250000000000002,1,fav
116,Example1,11/02/01,Team6,,1,,,,,2000/2001,2.57,3.17,2.48,0.35264521403689214,0.28095353354712815,1.225,1,out
117,Example1,11/02/01,Team8,,1,,,,,2000/2001,1.98,2.98,3.73,0.4652720289030282,0.3001576398870556,1.4,1,fav
118,Example1,11/02/01,Team10,L,0,,,,,2000/2001,2.95,2.79,2.43,0.3034869750260825,0.322404230518378,1.075,1,out
119,Example1,21/02/01,Team12,,0,16.0,9.0,5.0,1.0,2000/2001,1.7,3.46,5.3,0.5625211057097654,0.26802363693043785,1.725,1,fav
120,Example1,21/02/01,Team1,L,1,8.0,8.0,4.0,4.0,2000/2001,2.51,3.16,2.58,0.3634774881259616,0.2835883940720459,1.2000000000000002,1,fav
121,Example1,21/02/01,Team11,,1,7.0,9.0,3.0,5.0,2000/2001,2.96,3.36,2.26,0.31225568550915694,0.27282313867724683,1.3,1,out
122,Example1,21/02/01,Team9,L,0,,,,,2000/2001,2.54,3.0,2.84,0.3666612455228824,0.30746345485931675,1.2000000000000002,1,fav
123,Example1,21/02/01,Team7,,1,,,,,2000/2001,2.05,2.95,3.69,0.4523295395164658,0.3069774978155819,1.3,1,fav
124,Example1,21/02/01,Team5,L,0,6.0,14.0,2.0,6.0,2000/2001,8.08,4.47,1.33,0.0969191702410446,0.19347261977336883,0.7250000000000001,1,out
125,Example1,21/02/01,Team3,L,0,,,,,2000/2001,3.23,3.0,2.27,0.28283070249664793,0.30607031325404466,1.025,1,out
126,Example1,03/03/01,Team14,,2,,,,,2000/2001,1.8,3.44,3.95,0.5179097658564413,0.2593188749145976,1.625,1,fav
127,Example1,03/03/01,Team12,L,2,10.0,7.0,5.0,5.0,2000/2001,1.76,3.57,4.97,0.5490356867916443,0.26442383221707394,1.6,1,fav
128,Example1,03/03/01,Team13,L,0,,,,,2000/2001,2.01,3.33,3.64,0.47086624768374913,0.2771173223578718,1.425,1,fav
129,Example1,03/03/01,Team15,,0,12.0,14.0,1.0,5.0,2000/2001,2.56,2.98,3.14,0.3752689551365975,0.3208200643060264,1.15,1,fav
130,Example1,03/03/01,Team2,W,1,13.0,7.0,7.0,4.0,2000/2001,2.83,3.08,2.57,0.33101434231722804,0.3028097006142988,1.025,1,out
131,Example1,03/03/01,Team4,W,3,21.0,14.0,8.0,4.0,2000/2001,1.55,3.9,6.03,0.6179597226560755,0.23545404550886634,2.0,1,fav
132,Example1,03/03/01,Team6,L,1,11.0,7.0,3.0,4.0,2000/2001,2.33,3.32,3.06,0.40904563095136903,0.28286409665365136,1.4,1,fav
133,Example1,13/03/01,Team8,,0,,,,,2000/2001,1.98,3.23,3.62,0.47165229475030684,0.28046182275008713,1.525,1,fav
134,Example1,13/03/01,Team10,W,3,,,,,2000/2001,1.45,3.88,6.74,0.6502845091844399,0.22794916872102367,2.0,1,fav
135,Example1,13/03/01,Team1,,0,9.0,13.0,4.0,1.0,2000/2001,2.79,3.66,2.37,0.34045608492741125,0.25639965915333984,1.55,1,out
136,Example1,13/03/01,Team9,L,0,13.0,4.0,3.0,3.0,2000/2001,1.83,3.66,3.9,0.5176315556080319,0.2494240282458067,1.625,1,fav
137,Example1,13/03/01,Team7,W,4,20.0,8.0,11.0,1.0,2000/2001,1.78,3.75,4.4,0.5403656334631415,0.24922738379515355,1.725,1,fav
138,Example1,13/03/01,Team5,,1,24.0,14.0,9.0,5.0,2000/2001,3.76,3.22,1.92,0.23588518089884514,0.27936231867497874,1.075,1,out
139,Example1,13/03/01,Team3,W,1,16.0,7.0,7.0,2.0,2000/2001,2.16,3.38,3.26,0.43938260640447196,0.2749536064310319,1.5,1,fav
140,Example1,23/03/01,Team14,W,1,16.0,18.0,9.0,8.0,2000/2001,1.67,3.52,5.02,0.5667177246152121,0.2581394071761173,1.65,1,fav
141,Example1,23/03/01,Team12,W,4,,,,,2000/2001,1.24,5.0,9.97,0.7597372964379244,0.16781119694781899,2.15,1,fav
142,Example1,23/03/01,Team10,,1,,,,,2000/2001,1.89,2.95,4.04,0.4862056530888498,0.30124570832705216,1.425,1,fav
143,Example1,23/03/01,Team11,,1,,,,,2000/2001,1.53,3.73,6.25,0.6205839570532053,0.24249207188346694,1.8,1,fav
144,Example1,23/03/01,Team13,W,6,,,,,2000/2001,1.32,4.5,9.42,0.720727250524094,0.19594132051827598,2.225,1,fav
145,Example1,23/03/01,Team15,W,4,17.0,3.0,11.0,3.0,2000/2001,2.03,3.33,3.54,0.46502381516026,0.27622395686846285,1.525,1,fav
146,Example1,23/03/01,Team2,,2,,,,,2000/2001,2.21,3.39,2.8,0.4154839902318901,0.26199553101991074,1.475,1,fav
147,Example1,02/04/01,Team4,,1,,,,,2000/2001,2.77,3.21,2.37,0.32959295085833057,0.28127087455306427,1.225,1,out
148,Example1,02/04/01,Team6,W,2,,,,,2000/2001,1.81,2.98,4.42,0.5094210453718839,0.2982927738895279,1.525,1,fav
149,Example1,02/04/01,Team8,W,4,17.0,8.0,6.0,2.0,2000/2001,1.19,6.47,13.95,0.8103199656179154,0.13506952879400472,2.6500000000000004,1,fav
150,Example1,02/04/01,Team1,,2,,,,,2000/2001,1.6,3.45,5.63,0.5883668602446569,0.2604798167736881,1.5750000000000002,1,fav
151,Example1,02/04/01,Team7,L,0,14.0,10.0,6.0,7.0,2000/2001,1.42,4.86,6.6,0.678500619705221,0.18738313088765707,2.35,1,fav
152,Example1,02/04/01,Team5,W,2,,,,,2000/2001,1.75,3.42,4.3,0.5345354431909002,0.2618820952979403,1.7000000000000002,1,fav
153,Example1,02/04/01,Team3,W,2,,,,,2000/2001,1.61,3.6,5.24,0.5856410506518298,0.24956589990286407,1.925,1,fav
154,Example1,12/04/01,Team14,,0,7.0,8.0,3.0,2.0,2000/2001,2.5,3.23,2.8,0.37702570328706,0.28810854176903206,1.3250000000000002,1,fav
155,Example1,12/04/01,Team12,,0,8.0,4.0,1.0,0.0,2000/2001,1.81,3.54,4.57,0.5319113803418811,0.2654325771199207,1.6,1,fav
156,Example1,12/04/01,Team10,W,1,13.0,5.0,2.0,3.0,2000/2001,2.43,2.8,3.0,0.37642983949917597,0.3233896251375883,1.225,1,fav
157,Example1,12/04/01,Team8,W,1,14.0,8.0,10.0,3.0,2000/2001,3.04,3.21,2.28,0.3031771676359006,0.2861012590559446,1.1,1,out
158,Example1,12/04/01,Team9,W,4,,,,,2000/2001,1.92,3.03,4.17,0.48715944710785647,0.3004715912429008,1.4500000000000002,1,fav
159,Example1,12/04/01,Team11,W,2,13.0,15.0,3.0,4.0,2000/2001,2.39,3.16,2.96,0.3930952434413134,0.2929550091082173,1.3250000000000002,1,fav
160,Example1,12/04/01,Team13,W,2,,,,,2000/2001,1.89,3.42,3.98,0.5018220506168314,0.2692720247239344,1.6,1,fav
161,Example1,22/04/01,Team15,,1,,,,,2000/2001,2.09,2.88,3.39,0.4352075014746347,0.3077160527266454,1.35,1,fav
162,Example1,22/04/01,Team2,W,2,28.0,11.0,12.0,4.0,2000/2001,1.4,3.8,7.74,0.669907615905364,0.2297109258596225,1.9,1,fav
163,Example1,22/04/01,Team4,L,1,8.0,12.0,3.0,9.0,2000/2001,3.62,3.3,2.0,0.25143728118342923,0.2776808867504093,0.975,1,out
164,Example1,22/04/01,Team6,W,2,,,,,2000/2001,1.81,2.83,4.68,0.5074890662546232,0.31386816355662717,1.525,1,fav
165,Example1,22/04/01,Team1,W,3,18.0,7.0,6.0,2.0,2000/2001,1.45,4.01,6.95,0.6554460053649668,0.22371159688148218,2.325,1,fav
166,Example1,22/04/01,Team5,L,0,,,,,2000/2001,1.8,3.03,4.51,0.514973373996808,0.29511964512774513,1.5,1,fav
167,Example1,22/04/01,Team3,W,2,,,,,2000/2001,1.85,3.27,4.23,0.5093599039199445,0.27927131861312965,1.475,1,fav
168,Example1,02/05/01,Team14,W,2,,,,,2000/2001,2.67,2.98,2.65,0.3451192160835776,0.30699498689694726,1.1,1,out
169,Example1,02/05/01,Team12,L,0,,,,,2000/2001,1.73,3.19,4.74,0.53868974962668,0.2804924220851173,1.6,1,fav
170,Example1,02/05/01,Team10,,2,16.0,13.0,5.0,6.0,2000/2001,2.32,3.39,3.12,0.41458285310982973,0.2800936252508992,1.475,1,fav
171,Example1,02/05/01,Team8,,0,,,,,2000/2001,3.43,3.29,2.15,0.2722621370328779,0.284478350010742,1.075,1,out
172,Example1,02/05/01,Team6,W,5,13.0,2.0,8.0,1.0,2000/2001,1.25,5.57,11.25,0.7698380336014503,0.15924675163679788,2.475,1,fav
173,Example1,02/05/01,Team7,,1,,,,,2000/2001,2.33,2.97,3.14,0.39967654426347404,0.30908436997600847,1.25,1,fav
174,Example1,02/05/01,Team9,,1,11.0,15.0,2.0,5.0,2000/2001,3.78,3.22,2.03,0.2435016070603418,0.28871558415030685,0.975,1,out
175,Example1,12/05/01,Team11,,1,4.0,5.0,1.0,4.0,2000/2001,2.14,3.1,3.6,0.44290207525387365,0.30056710523640057,1.35,1,fav
176,Example1,12/05/01,Team13,,3,,,,,2000/2001,2.08,3.22,3.23,0.44436229660071463,0.27828727349857,1.6,1,fav
177,Example1,12/05/01,Team15,,1,10.0,14.0,5.0,5.0,2000/2001,3.11,3.47,2.25,0.30387704948147515,0.27097219952930135,1.35,1,out
178,Example1,12/05/01,Team2,L,1,6.0,9.0,5.0,5.0,2000/2001,9.32,5.12,1.3,0.0880040234706901,0.17386264556486353,0.65,1,out
179,Example1,12/05/01,Team4,L,1,,,,,2000/2001,1.17,5.85,11.84,0.8053237080267889,0.13818511700426514,2.325,1,fav
180,Example1,12/05/01,Team1,,1,11.0,9.0,1.0,2.0,2000/2001,2.68,2.83,2.89,0.3486857881935204,0.32925962936079356,1.1,1,fav
